Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.44588235
Jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,9.040869565
Jute,1998,Kharif     ,Meghalaya,4241.0,27097,6552.7,419010.8,1229.89,7.553333333
Jute,1998,Kharif     ,West Bengal,612066.0,7373630,2152.5,60472120.8,177499.14,13.24705882
Jute,1999,Kharif     ,Assam,73545.0,657537,2201.8,7805330.85,19857.15,9.13173913
Jute,1999,Kharif     ,Meghalaya,4235.0,31781,6200.3,449460.55,1143.45,6.76
Jute,1999,Kharif     ,West Bengal,613923.0,7593680,2318.1,65155647.99,165759.21,13.94058824
Jute,2000,Kharif     ,Assam,69513.0,668439,1965.5,6824091.21,18073.38,9.794782609
Jute,2000,Kharif     ,Meghalaya,4220.0,35816,6258.8,414277.4,1097.2,7.133333333
Jute,2000,Kharif     ,West Bengal,612994.0,7428400,1907.7,60177620.98,159378.44,13.52411765
Jute,2001,Kharif     ,Assam,68178.0,674603,1824.7,6963019.14,17726.28,9.675652174
Jute,2001,Kharif     ,Meghalaya,4061.0,25057,4241.0,414749.93,1055.86,6.236666667
Jute,2001,Kharif     ,West Bengal,651814.0,8836168,1556.6,66569763.82,169471.64,15.42705882
Jute,2002,Kharif     ,Assam,67915.0,690619,1973.6,6429513.05,16978.75,9.963478261
Jute,2002,Kharif     ,West Bengal,636066.0,8505522,1629.1,60216368.22,159016.5,14.35235294
Jute,2003,Kharif     ,Assam,64027.0,665268,2213.7,6337392.46,15366.48,10.2626087
Jute,2003,Kharif     ,Meghalaya,4043.0,35699,3321.3,400176.14,970.32,7.026666667
Jute,2003,Kharif     ,West Bengal,620421.0,8366723,1526.7,61409270.58,148901.04,14.47764706
Jute,2004,Kharif     ,Meghalaya,4019.0,20153,4767.9,435418.46,843.99,4.8
Jute,2005,Kharif     ,Assam,56757.0,578858,2184.6,6806299.44,11918.97,10.28740741
Jute,2005,Kharif     ,Meghalaya,4017.0,35499,3374.4,481718.64,843.57,7.11
Jute,2005,Kharif     ,West Bengal,558938.0,7989246,1650.1,67027844.96,117376.98,14.95882353
Jute,2006,Rabi       ,Meghalaya,3967.0,35304,2454.7,506625.57,872.74,7.056666667
