Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Masoor,1997,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662352941
Masoor,1998,Rabi       ,West Bengal,51919.0,35600,2152.5,5129597.2,15056.51,0.600588235
Masoor,1999,Rabi       ,West Bengal,58760.0,34165,2318.1,6236198.8,15865.2,0.636470588
Masoor,2000,Rabi       ,West Bengal,75994.0,68500,1907.7,7460330.98,19758.44,0.87625
Masoor,2001,Rabi       ,Assam,21308.0,11217,1824.7,2176186.04,5540.08,0.511904762
Masoor,2001,Rabi       ,West Bengal,71377.0,37422,1556.6,7289733.01,18558.02,0.574705882
Masoor,2002,Rabi       ,Assam,19730.0,10694,1973.6,1867839.1,4932.5,0.524761905
Masoor,2002,Rabi       ,West Bengal,68721.0,43245,1629.1,6505817.07,17180.25,0.606470588
Masoor,2003,Rabi       ,Assam,21736.0,11721,2213.7,2151429.28,5216.64,0.51
Masoor,2003,Rabi       ,West Bengal,69380.0,53186,1526.7,6867232.4,16651.2,0.669411765
Masoor,2005,Rabi       ,Assam,18583.0,9877,2184.6,2228473.36,3902.43,0.5112
Masoor,2005,Rabi       ,West Bengal,61493.0,46964,1650.1,7374240.56,12913.53,0.612777778
Masoor,2006,Rabi       ,Assam,20137.0,10602,1774.9,2571696.27,4430.14,0.5184
Masoor,2006,Rabi       ,West Bengal,64239.0,42670,1631.4,8203962.69,14132.58,0.561764706
Masoor,2007,Rabi       ,Assam,22469.0,10592,2154.1,2997364.6,3595.04,0.482916667
Masoor,2007,Rabi       ,West Bengal,58737.0,44815,2007.5,7835515.8,9397.92,0.703125
Masoor,2008,Rabi       ,Assam,21726.0,11084,2109.9,3107687.04,1955.34,0.5236
Masoor,2008,Rabi       ,West Bengal,49712.0,32428,1560.1,7110804.48,4474.08,0.617058824
Masoor,2009,Rabi       ,Assam,23227.0,11661,1727.1,3619231.14,3948.59,0.498148148
Masoor,2009,Rabi       ,Meghalaya,332.0,274,2995.9,51732.24,56.44,0.73
Masoor,2010,Rabi       ,Assam,23895.0,11820,2578.5,3969198.45,5734.8,0.495384615
Masoor,2010,Rabi       ,Meghalaya,339.0,280,3119.7,56311.29,81.36,0.7625
Masoor,2011,Rabi       ,Assam,22544.0,11798,1743.4,3776570.88,7439.52,0.526
Masoor,2011,Rabi       ,Meghalaya,356.0,296,4083.104545,59637.12,117.48,0.7875
Masoor,2012,Rabi       ,Assam,28923.0,16731,2167.5,4361588.4,8966.13,0.5748
Masoor,2013,Rabi       ,Assam,29993.0,22364,1797.7,4333688.57,8098.11,0.6948
