Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68
Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525
Mesta,1997,Kharif     ,West Bengal,9689.0,89000,1852.9,922102.13,3003.59,9.154166667
Mesta,1998,Kharif     ,Assam,5260.0,25623,2354.4,519688.0,1525.4,4.9105
Mesta,1998,Kharif     ,Meghalaya,4681.0,21362,6552.7,462482.8,1357.49,4.58
Mesta,1998,Whole Year ,Meghalaya,871.0,631,6552.7,86054.8,252.59,0.68
Mesta,1998,Kharif     ,West Bengal,9911.0,81030,2152.5,979206.8,2874.19,8.453846154
Mesta,1999,Kharif     ,Assam,5177.0,25515,2201.8,549435.01,1397.79,4.622380952
Mesta,1999,Kharif     ,Meghalaya,4457.0,20071,6200.3,473021.41,1203.39,4.556666667
Mesta,1999,Kharif     ,West Bengal,8864.0,81720,2318.1,940736.32,2393.28,9.842142857
Mesta,2000,Kharif     ,Andhra Pradesh,77823.0,686947,935.6,7639883.91,20233.98,8.745384615
Mesta,2000,Kharif     ,Assam,5049.0,24557,1965.5,495660.33,1312.74,4.657368421
Mesta,2000,Kharif     ,Karnataka,4288.0,6666,1213.3,420952.96,1114.88,1.807142857
Mesta,2000,Kharif     ,Meghalaya,4635.0,21358,6258.8,455017.95,1205.1,4.606666667
Mesta,2000,Kharif     ,West Bengal,10891.0,83630,1907.7,1069169.47,2831.66,6.860833333
Mesta,2001,Kharif     ,Andhra Pradesh,78942.0,671542,928.4,8062346.46,20524.92,8.370909091
Mesta,2001,Kharif     ,Assam,4969.0,24484,1824.7,507483.97,1291.94,4.6045
Mesta,2001,Kharif     ,Karnataka,3668.0,5195,1002.9,374612.84,953.68,1.94375
Mesta,2001,Kharif     ,Meghalaya,4550.0,24526,4241.0,464691.5,1183.0,4.96
Mesta,2001,Kharif     ,West Bengal,10632.0,91297,1556.6,1085846.16,2764.32,7.960833333
Mesta,2002,Kharif     ,Andhra Pradesh,81169.0,613607,648.1,7684269.23,20292.25,7.506363636
Mesta,2002,Kharif     ,Assam,5133.0,25429,1973.6,485941.11,1283.25,4.652857143
Mesta,2002,Kharif     ,West Bengal,8216.0,72572,1629.1,777808.72,2054.0,10.04
Mesta,2003,Kharif     ,Andhra Pradesh,59177.0,470198,826.0,5857339.46,14202.48,7.792857143
Mesta,2003,Kharif     ,Assam,5420.0,25867,2213.7,536471.6,1300.8,4.419047619
Mesta,2003,Kharif     ,Karnataka,4060.0,6055,867.6,401858.8,974.4,1.72
Mesta,2003,Kharif     ,Meghalaya,4502.0,20459,3321.3,445607.96,1080.48,4.573333333
Mesta,2003,Kharif     ,West Bengal,9715.0,98807,1526.7,961590.7,2331.6,11.30461538
Mesta,2004,Kharif     ,Karnataka,2810.0,3983,1117.7,304435.4,590.1,1.714
Mesta,2004,Kharif     ,Meghalaya,4195.0,19018,4767.9,454486.3,880.95,4.543333333
Mesta,2005,Kharif     ,Andhra Pradesh,49827.0,455487,1075.5,5975253.84,10463.67,8.926666667
Mesta,2005,Kharif     ,Assam,4914.0,24678,2184.6,589286.88,1031.94,4.650434783
Mesta,2005,Whole Year ,Karnataka,2097.0,2662,1316.2,251472.24,440.37,1.568
Mesta,2005,Kharif     ,Meghalaya,4436.0,20212,3374.4,531965.12,931.56,4.563333333
Mesta,2005,Kharif     ,Tamil Nadu,1.0,0,1364.1,119.92,0.21,0.0
Mesta,2005,Kharif     ,West Bengal,10358.0,125254,1650.1,1242131.36,2175.18,11.78285714
Mesta,2006,Kharif     ,Meghalaya,4425.0,20178,2454.7,565116.75,973.5,4.566666667
Mesta,2006,Kharif     ,Andhra Pradesh,61894.0,543574,845.2,7904482.74,13616.68,8.692222222
Mesta,2006,Kharif     ,Assam,4860.0,24668,1774.9,620670.6,1069.2,4.6988
Mesta,2006,Whole Year ,Karnataka,1998.0,2667,1146.3,255164.58,439.56,1.543333333
Mesta,2006,Kharif     ,West Bengal,9660.0,94530,1631.4,1233678.6,2125.2,9.248333333
Mesta,2007,Kharif     ,Assam,5253.0,26897,2154.1,700750.2,840.48,4.7625
Mesta,2007,Whole Year ,Karnataka,1861.0,2387,1323.3,248257.4,297.76,1.554
Mesta,2007,Kharif     ,West Bengal,7432.0,77499,2007.5,991428.8,1189.12,7.864
Mesta,2008,Kharif     ,Andhra Pradesh,37163.0,295481,944.6,5315795.52,3344.67,7.881666667
Mesta,2008,Kharif     ,Assam,5285.0,26807,2109.9,755966.4,475.65,4.663913043
Mesta,2008,Whole Year ,Karnataka,1146.0,1617,1164.1,163923.84,103.14,1.636
Mesta,2008,Kharif     ,Meghalaya,4176.0,19046,3114.3,597335.04,375.84,4.563333333
Mesta,2008,Kharif     ,West Bengal,7908.0,92901,1560.1,1131160.32,711.72,8.777
Mesta,2009,Kharif     ,Andhra Pradesh,23045.0,191397,711.0,3590871.9,3917.65,8.421666667
Mesta,2009,Kharif     ,Assam,5000.0,25437,1727.1,779100.0,850.0,4.705217391
Mesta,2009,Whole Year ,Karnataka,1300.0,1885,1321.0,202566.0,221.0,1.324
Mesta,2009,Kharif     ,Meghalaya,4154.0,18391,2995.9,647276.28,706.18,4.506666667
Mesta,2010,Kharif     ,Assam,4970.0,25950,2578.5,825566.7,1192.8,4.909130435
Mesta,2010,Kharif     ,Andhra Pradesh,25244.0,225961,1297.0,4193280.84,6058.56,8.89
Mesta,2010,Whole Year ,Karnataka,1907.0,2405,1317.7,316771.77,457.68,1.21
Mesta,2010,Kharif     ,Meghalaya,4122.0,18231,3119.7,684705.42,989.28,4.5
Mesta,2011,Kharif     ,Assam,4877.0,27718,1743.4,816995.04,1609.41,5.8716
Mesta,2011,Kharif     ,Andhra Pradesh,25760.0,199619,861.9,4315315.2,8500.8,5.77625
Mesta,2011,Whole Year ,Karnataka,825.0,1028,1178.986364,138204.0,272.25,1.202857143
Mesta,2011,Kharif     ,Meghalaya,4125.0,18433,4083.104545,691020.0,1361.25,4.54
Mesta,2012,Kharif     ,Andhra Pradesh,15000.0,126000,968.7,2262000.0,4650.0,7.125
Mesta,2012,Kharif     ,Assam,4479.0,25096,2167.5,675433.2,1388.49,5.216923077
Mesta,2012,Whole Year ,Karnataka,713.0,871,956.2,107520.4,221.03,1.242
Mesta,2012,Kharif     ,Meghalaya,4435.0,25871,2945.3,668798.0,1374.85,6.01
Mesta,2013,Kharif     ,Andhra Pradesh,9112.0,83557,1062.3,1316592.88,2460.24,9.203333333
Mesta,2013,Rabi       ,Andhra Pradesh,52.0,472,1062.3,7513.48,14.04,9.08
Mesta,2013,Kharif     ,Assam,4444.0,29293,1797.7,642113.56,1199.88,5.858148148
Mesta,2013,Whole Year ,Karnataka,349.0,466,1235.6,50427.01,94.23,1.33
Mesta,2013,Kharif     ,Meghalaya,4475.0,26228,2448.4,646592.75,1208.25,6.042
Mesta,2014,Kharif     ,Andhra Pradesh,6637.0,47061,687.6,1001921.52,2190.21,7.143333333
Mesta,2014,Rabi       ,Andhra Pradesh,52.0,355,687.6,7849.92,17.16,6.83
Mesta,2014,Kharif     ,Assam,4599.0,25716,1899.0,694265.04,1517.67,5.331153846
Mesta,2014,Whole Year ,Karnataka,261.0,293,1238.5,39400.56,86.13,1.123333333
Mesta,2014,Kharif     ,Meghalaya,4496.0,26384,3484.4,678716.16,1483.68,6.07
Mesta,2015,Kharif     ,Andhra Pradesh,5355.0,44366,940.7,845608.05,1767.15,8.23
Mesta,2015,Rabi       ,Andhra Pradesh,15.0,140,940.7,2368.65,4.95,9.33
Mesta,2015,Kharif     ,Assam,4304.0,28260,2155.3,679644.64,1420.32,6.224230769
Mesta,2015,Kharif     ,Meghalaya,4469.0,26263,3870.8,705699.79,1474.77,6.104
Mesta,2015,Whole Year ,Karnataka,766.0,1024,1024.9,120959.06,252.78,1.335
Mesta,2016,Kharif     ,Andhra Pradesh,6702.0,63394,890.0,1027081.5,2345.7,9.31
Mesta,2016,Kharif     ,Assam,3544.0,21344,2296.8,543118.0,1240.4,5.905384615
Mesta,2016,Kharif     ,Meghalaya,4464.0,26301,3837.1,684108.0,1562.4,6.296
Mesta,2016,Whole Year ,Karnataka,105.0,107,1147.2,16091.25,36.75,1.04
