Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,1852.9,121722.43,396.49,0.585
Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,2964.9,118560.0,348.0,0.27
Other Kharif pulses,1998,Kharif     ,West Bengal,768.0,318,2152.5,75878.4,222.72,0.516
Other Kharif pulses,1999,Kharif     ,Goa,1000.0,578,3879.3,106130.0,270.0,0.58
Other Kharif pulses,1999,Kharif     ,West Bengal,783.0,419,2318.1,83099.79,211.41,0.591666667
Other Kharif pulses,2000,Kharif     ,Andhra Pradesh,19850.0,5000,935.6,1948674.5,5161.0,0.275263158
Other Kharif pulses,2000,Kharif     ,Goa,650.0,314,3886.9,63810.5,169.0,0.48
Other Kharif pulses,2000,Kharif     ,Karnataka,169312.0,51172,1213.3,16621359.04,44021.12,0.2812
Other Kharif pulses,2000,Kharif     ,West Bengal,825.0,409,1907.7,80990.25,214.5,0.548333333
Other Kharif pulses,2001,Kharif     ,Andhra Pradesh,17331.0,4573,928.4,1770015.03,4506.06,0.314210526
Other Kharif pulses,2001,Kharif     ,Goa,505.0,283,2530.6,51575.65,131.3,0.56
Other Kharif pulses,2001,Kharif     ,Karnataka,137310.0,42618,1002.9,14023470.3,35700.6,0.2764
Other Kharif pulses,2001,Kharif     ,West Bengal,1593.0,865,1556.6,162693.09,414.18,0.605
Other Kharif pulses,2002,Kharif     ,Andhra Pradesh,6915.0,1532,648.1,654643.05,1728.75,0.223
Other Kharif pulses,2002,Kharif     ,Goa,201.0,168,2516.3,19028.67,50.25,0.84
Other Kharif pulses,2002,Kharif     ,Tamil Nadu,121255.0,24850,315.9,11479210.85,30313.75,0.197037037
Other Kharif pulses,2002,Kharif     ,West Bengal,707.0,476,1629.1,66931.69,176.75,0.59
Other Kharif pulses,2003,Kharif     ,Andhra Pradesh,8349.0,2056,826.0,826384.02,2003.76,0.240769231
Other Kharif pulses,2003,Kharif     ,Goa,498.0,294,3011.6,49292.04,119.52,0.59
Other Kharif pulses,2003,Kharif     ,Karnataka,120612.0,38029,867.6,11938175.76,28946.88,0.2812
Other Kharif pulses,2003,Kharif     ,Tamil Nadu,105792.0,21757,345.6,10471292.16,25390.08,0.239642857
Other Kharif pulses,2003,Kharif     ,West Bengal,760.0,388,1526.7,75224.8,182.4,0.496
Other Kharif pulses,2004,Kharif     ,Karnataka,164849.0,54161,1117.7,17859740.66,34618.29,0.276153846
Other Kharif pulses,2004,Kharif     ,Tamil Nadu,91578.0,18642,1034.0,9921560.52,19231.38,0.201071429
Other Kharif pulses,2005,Kharif     ,Andhra Pradesh,14585.0,3836,1075.5,1749033.2,3062.85,0.274666667
Other Kharif pulses,2005,Kharif     ,Karnataka,151868.0,49236,1316.2,18212010.56,31892.28,0.279583333
Other Kharif pulses,2005,Kharif     ,Tamil Nadu,68999.0,21356,1364.1,8274360.08,14489.79,0.366923077
Other Kharif pulses,2005,Kharif     ,West Bengal,854.0,541,1650.1,102411.68,179.34,0.5375
Other Kharif pulses,2006,Kharif     ,Andhra Pradesh,10190.0,3106,845.2,1301364.9,2241.8,0.298666667
Other Kharif pulses,2006,Kharif     ,Karnataka,116341.0,88598,1146.3,14857909.11,25595.02,0.785
Other Kharif pulses,2006,Kharif     ,West Bengal,1052.0,562,1631.4,134350.92,231.44,0.501666667
Other Kharif pulses,2007,Kharif     ,Karnataka,145273.0,107959,1323.3,19379418.2,23243.68,0.766153846
Other Kharif pulses,2007,Kharif     ,West Bengal,894.0,541,2007.5,119259.6,143.04,0.526
Other Kharif pulses,2008,Kharif     ,Puducherry,1.0,1,1434.5875,143.04,0.09,1.0
Other Kharif pulses,2008,Kharif     ,Andhra Pradesh,2634.0,1291,944.6,376767.36,237.06,0.5
Other Kharif pulses,2008,Kharif     ,Karnataka,132310.0,101329,1164.1,18925622.4,11907.9,0.77
Other Kharif pulses,2008,Kharif     ,West Bengal,976.0,752,1560.1,139607.04,87.84,0.675
Other Kharif pulses,2009,Kharif     ,Puducherry,3.0,2,1434.5875,467.46,0.51,0.67
Other Kharif pulses,2009,Kharif     ,Andhra Pradesh,2814.0,1269,711.0,438477.48,478.38,0.438
Other Kharif pulses,2009,Kharif     ,Karnataka,114169.0,82364,1321.0,17789813.58,19408.73,0.6076
Other Kharif pulses,2010,Kharif     ,Puducherry,1.0,1,1434.5875,166.11,0.24,1.0
Other Kharif pulses,2010,Kharif     ,Andhra Pradesh,2581.0,1194,1297.0,428729.91,619.44,0.82
Other Kharif pulses,2010,Kharif     ,Karnataka,81180.0,66838,1317.7,13484809.8,19483.2,0.755925926
Other Kharif pulses,2011,Kharif     ,Puducherry,1.0,1,1434.5875,167.52,0.33,1.0
Other Kharif pulses,2011,Rabi       ,Puducherry,20.0,20,1434.5875,3350.4,6.6,1.0
Other Kharif pulses,2011,Kharif     ,Andhra Pradesh,3459.0,1459,861.9,579451.68,1141.47,0.487142857
Other Kharif pulses,2011,Kharif     ,Karnataka,67383.0,65344,1178.986364,11288000.16,22236.39,0.879230769
Other Kharif pulses,2012,Kharif     ,Andhra Pradesh,2929.0,1923,968.7,441693.2,907.99,0.6075
Other Kharif pulses,2012,Kharif     ,Karnataka,64785.0,60710,956.2,9769578.0,20083.35,0.861538462
Other Kharif pulses,2013,Kharif     ,Andhra Pradesh,3488.0,2369,1062.3,503981.12,941.76,0.5025
Other Kharif pulses,2013,Kharif     ,Goa,172.0,139,3642.6,24852.28,46.44,0.73
Other Kharif pulses,2013,Kharif     ,Karnataka,60593.0,42437,1235.6,8755082.57,16360.11,0.6784
Other Kharif pulses,2014,Kharif     ,Andhra Pradesh,3206.0,3270,687.6,483977.76,1057.98,0.442
Other Kharif pulses,2014,Kharif     ,Goa,208.0,186,3491.2,31399.68,68.64,0.945
Other Kharif pulses,2014,Kharif     ,Karnataka,59108.0,46736,1238.5,8922943.68,19505.64,0.8136
Other Kharif pulses,2015,Kharif     ,Goa,171.0,128,2587.1,27002.61,56.43,0.735
Other Kharif pulses,2015,Kharif     ,Karnataka,51342.0,68617,1024.9,8107415.22,16942.86,1.2296
Other Kharif pulses,2015,Kharif     ,Kerala,2333.0,2420,2602.9,368404.03,769.89,1.027857143
Other Kharif pulses,2015,Kharif     ,Tamil Nadu,113836.0,66594,1201.9,17975842.76,37565.88,0.598888889
Other Kharif pulses,2016,Kharif     ,Andhra Pradesh,3721.0,2414,890.0,570243.25,1302.35,0.6775
Other Kharif pulses,2016,Kharif     ,Puducherry,2.0,3,1391.3,306.5,0.7,1.5
Other Kharif pulses,2016,Kharif     ,Goa,142.0,118,3266.9,21761.5,49.7,0.8
Other Kharif pulses,2016,Kharif     ,Karnataka,49480.0,18324,1147.2,7582810.0,17318.0,0.3628
Other Kharif pulses,2016,Kharif     ,Kerala,1562.0,1433,2924.3,239376.5,546.7,1.104545455
Other Kharif pulses,2017,Kharif     ,Andhra Pradesh,2551.0,1642,868.2,401629.44,969.38,0.905
Other Kharif pulses,2017,Kharif     ,Puducherry,5.0,14,1582.4,787.2,1.9,2.8
Other Kharif pulses,2017,Kharif     ,Goa,195.0,187,2772.5,30700.8,74.1,0.775
Other Kharif pulses,2017,Kharif     ,Karnataka,59826.0,58153,1111.7,9419005.44,22733.88,0.8096
Other Kharif pulses,2017,Kharif     ,Kerala,1785.0,1614,2664.8,281030.4,678.3,1.017692308
Other Kharif pulses,2017,Kharif     ,Tamil Nadu,29294.0,19342,970.9,4612047.36,11131.72,0.671818182
Other Kharif pulses,2018,Kharif     ,Andhra Pradesh,2454.0,810,1220.5,398038.8,858.9,0.32
Other Kharif pulses,2018,Kharif     ,Puducherry,1.0,1,1693.9,162.2,0.35,1.0
Other Kharif pulses,2018,Kharif     ,Goa,170.0,139,4406.0,27574.0,59.5,0.69
Other Kharif pulses,2018,Kharif     ,Karnataka,28375.0,17511,1419.1,4602425.0,9931.25,0.641666667
Other Kharif pulses,2018,Kharif     ,Kerala,1532.826,1316,2989.7,248624.3772,536.4891,1.076
Other Kharif pulses,2018,Kharif     ,Tamil Nadu,28942.0,20808,986.2,4694392.4,10129.7,0.68952381
