Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other Summer Pulses,2016,Summer     ,Puducherry,10.0,8,1391.3,1532.5,3.5,0.8
Other Summer Pulses,2017,Summer     ,Puducherry,15.0,42,1582.4,2361.6,5.7,2.8
Other Summer Pulses,2018,Summer     ,Puducherry,10.0,10,1693.9,1622.0,3.5,1.0
Other Summer Pulses,2019,Summer     ,Puducherry,21.0,17,1317.0,3606.96,7.77,0.81
Other Summer Pulses,2016,Summer     ,Maharashtra,2170.0,1443,1151.1,332552.5,759.5,0.68875
Other Summer Pulses,2016,Summer     ,Uttarakhand,12.0,7,1580.9,1839.0,4.2,0.58
Other Summer Pulses,2017,Summer     ,Maharashtra,2164.0,691,1129.5,340700.16,822.32,0.334666667
Other Summer Pulses,2018,Summer     ,Maharashtra,2030.0,648,1387.4,329266.0,710.5,0.426363636
Other Summer Pulses,2018,Summer     ,Uttarakhand,3.0,2,1373.0,486.6,1.05,0.67
Other Summer Pulses,2019,Summer     ,Maharashtra,12685.0,5526,1555.8,2178775.6,4693.45,0.489473684
