Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.608571429
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.91,101408.13,0.718333333
Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631,2354.4,28536305.2,83760.41,0.473478261
Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673.0,1790,1260.8,659292.4,1935.17,0.210625
Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916.0,4576,6552.7,683300.8,2005.64,0.635714286
Rapeseed &Mustard,1998,Rabi       ,West Bengal,344358.0,251740,2152.5,34022570.4,99863.82,0.667222222
Rapeseed &Mustard,1999,Rabi       ,Assam,286241.0,129425,2201.8,30378757.33,77285.07,0.479565217
Rapeseed &Mustard,1999,Rabi       ,Meghalaya,7042.0,4648,6200.3,747367.46,1901.34,0.654285714
Rapeseed &Mustard,1999,Rabi       ,Puducherry,64.0,483,1434.5875,6792.32,17.28,6.023333333
Rapeseed &Mustard,1999,Rabi       ,West Bengal,345961.0,278540,2318.1,36716840.93,93409.47,0.766111111
Rapeseed &Mustard,2000,Rabi       ,Andhra Pradesh,4482.0,1048,935.6,439997.94,1165.32,0.151538462
Rapeseed &Mustard,2000,Rabi       ,Assam,274459.0,141231,1965.5,26943640.03,71359.34,0.499565217
Rapeseed &Mustard,2000,Rabi       ,Karnataka,7637.0,2012,1213.3,749724.29,1985.62,0.208888889
Rapeseed &Mustard,2000,Rabi       ,Meghalaya,7126.0,4730,6258.8,699559.42,1852.76,0.664285714
Rapeseed &Mustard,2000,Rabi       ,Puducherry,63.0,452,1434.5875,6184.71,16.38,6.265
Rapeseed &Mustard,2000,Rabi       ,West Bengal,435998.0,417020,1907.7,42801923.66,113359.48,0.841666667
Rapeseed &Mustard,2001,Rabi       ,Andhra Pradesh,2452.0,790,928.4,250422.76,637.52,0.3275
Rapeseed &Mustard,2001,Rabi       ,Assam,272323.0,137056,1824.7,27812347.99,70803.98,0.479130435
Rapeseed &Mustard,2001,Rabi       ,Karnataka,7063.0,1905,1002.9,721344.19,1836.38,0.221764706
Rapeseed &Mustard,2001,Rabi       ,Meghalaya,7156.0,4782,4241.0,730842.28,1860.56,0.581428571
Rapeseed &Mustard,2001,Rabi       ,Puducherry,71.0,530,1434.5875,7251.23,18.46,6.345
Rapeseed &Mustard,2001,Rabi       ,West Bengal,439578.0,336547,1556.6,44894101.14,114290.28,0.688333333
Rapeseed &Mustard,2002,Rabi       ,Andhra Pradesh,3369.0,742,648.1,318943.23,842.25,0.302857143
Rapeseed &Mustard,2002,Rabi       ,Assam,261309.0,129784,1973.6,24738123.03,65327.25,0.472173913
Rapeseed &Mustard,2002,Rabi       ,Tamil Nadu,585.0,142,315.9,55381.95,146.25,0.206
Rapeseed &Mustard,2002,Rabi       ,West Bengal,408270.0,328117,1629.1,38650920.9,102067.5,0.692777778
Rapeseed &Mustard,2003,Rabi       ,Andhra Pradesh,1695.0,432,826.0,167771.1,406.8,0.285714286
Rapeseed &Mustard,2003,Rabi       ,Assam,264103.0,138296,2213.7,26140914.94,63384.72,0.519130435
Rapeseed &Mustard,2003,Rabi       ,Karnataka,6048.0,1706,867.6,598631.04,1451.52,0.223529412
Rapeseed &Mustard,2003,Rabi       ,Meghalaya,7218.0,4645,3321.3,714437.64,1732.32,0.608571429
Rapeseed &Mustard,2003,Rabi       ,Tamil Nadu,376.0,93,345.6,37216.48,90.24,0.386666667
