Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,1.055652174
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04
Rice,1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741
Rice,1998,Rabi       ,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714
Rice,1998,Summer     ,Karnataka,295830.0,951569,1260.8,29228004.0,85790.7,2.99375
Rice,1998,Autumn     ,Kerala,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077
Rice,1998,Summer     ,Kerala,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846
Rice,1998,Winter     ,Kerala,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51
Rice,1998,Autumn     ,West Bengal,425002.0,740688,2152.5,41990197.6,123250.58,1.751111111
Rice,1998,Summer     ,West Bengal,1450473.0,4921984,2152.5,143306732.4,420637.17,3.22
Rice,1998,Winter     ,West Bengal,4028620.0,7653780,2152.5,398027656.0,1168299.8,1.781666667
Rice,1999,Autumn     ,Assam,557220.0,514156,2201.8,59137758.6,150449.4,1.094782609
