Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Safflower,1997,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.2975
Safflower,1998,Rabi       ,Karnataka,97487.0,58727,1260.8,9631715.6,28271.23,0.616428571
Safflower,1998,Rabi       ,West Bengal,48.0,16,2152.5,4742.4,13.92,0.4575
Safflower,1999,Rabi       ,West Bengal,60.0,19,2318.1,6367.8,16.2,0.542
Safflower,2000,Rabi       ,Andhra Pradesh,16198.0,6574,935.6,1590157.66,4211.48,0.34
Safflower,2000,Rabi       ,Karnataka,93546.0,72079,1213.3,9183410.82,24321.96,0.764
Safflower,2000,Rabi       ,West Bengal,29.0,9,1907.7,2846.93,7.54,0.3
Safflower,2001,Rabi       ,Andhra Pradesh,19728.0,5920,928.4,2014820.64,5129.28,0.303
Safflower,2001,Rabi       ,Karnataka,92029.0,72794,1002.9,9398921.77,23927.54,0.714666667
Safflower,2001,Rabi       ,West Bengal,58.0,22,1556.6,5923.54,15.08,0.385
Safflower,2002,Rabi       ,Andhra Pradesh,19350.0,6776,648.1,1831864.5,4837.5,0.318181818
Safflower,2002,Rabi       ,West Bengal,39.0,31,1629.1,3692.13,9.75,1.216666667
Safflower,2003,Rabi       ,Andhra Pradesh,17250.0,5331,826.0,1707405.0,4140.0,0.297272727
Safflower,2003,Rabi       ,Karnataka,98643.0,41599,867.6,9763684.14,23674.32,0.39
Safflower,2003,Rabi       ,West Bengal,1372.0,978,1526.7,135800.56,329.28,0.4925
Safflower,2004,Rabi       ,Karnataka,94450.0,48832,1117.7,10232713.0,19834.5,0.488125
Safflower,2005,Rabi       ,Andhra Pradesh,17654.0,8094,1075.5,2117067.68,3707.34,0.415454545
Safflower,2005,Rabi       ,Karnataka,80945.0,61507,1316.2,9706924.4,16998.45,0.694375
Safflower,2005,Rabi       ,West Bengal,321.0,183,1650.1,38494.32,67.41,0.5525
Safflower,2006,Rabi       ,Andhra Pradesh,14302.0,8994,845.2,1826508.42,3146.44,0.50125
Safflower,2006,Rabi       ,Karnataka,80607.0,59629,1146.3,10294319.97,17733.54,0.673333333
Safflower,2006,Rabi       ,West Bengal,399.0,242,1631.4,50956.29,87.78,0.556666667
Safflower,2007,Rabi       ,Karnataka,70218.0,59222,1323.3,9367081.2,11234.88,0.817142857
Safflower,2007,Rabi       ,West Bengal,865.0,898,2007.5,115391.0,138.4,1.088888889
Safflower,2008,Rabi       ,Andhra Pradesh,12780.0,6398,944.6,1828051.2,1150.2,0.5
Safflower,2008,Rabi       ,Karnataka,73376.0,59954,1164.1,10495703.04,6603.84,0.772857143
Safflower,2008,Rabi       ,West Bengal,350.0,270,1560.1,50064.0,31.5,0.83
Safflower,2009,Rabi       ,Andhra Pradesh,14273.0,6079,711.0,2224018.86,2426.41,0.4325
Safflower,2009,Rabi       ,Karnataka,67924.0,51941,1321.0,10583917.68,11547.08,0.694
Safflower,2010,Rabi       ,Andhra Pradesh,13090.0,8897,1297.0,2174379.9,3141.6,0.705
Safflower,2010,Rabi       ,Karnataka,55038.0,48719,1317.7,9142362.18,13209.12,0.777333333
Safflower,2011,Rabi       ,Andhra Pradesh,10080.0,7508,861.9,1688601.6,3326.4,0.73125
Safflower,2011,Rabi       ,Karnataka,55288.0,34047,1178.986364,9261845.76,18245.04,0.586875
Safflower,2012,Rabi       ,Andhra Pradesh,276.0,172,968.7,41620.8,85.56,1.256666667
Safflower,2012,Rabi       ,Karnataka,48296.0,30320,956.2,7283036.8,14971.76,0.573571429
Safflower,2013,Rabi       ,Andhra Pradesh,215.0,120,1062.3,31065.35,58.05,0.63
Safflower,2013,Rabi       ,Karnataka,43135.0,34167,1235.6,6232576.15,11646.45,0.773333333
Safflower,2014,Kharif     ,Andhra Pradesh,85.0,37,687.6,12831.6,28.05,0.44
Safflower,2014,Rabi       ,Andhra Pradesh,681.0,211,687.6,102803.76,224.73,0.34
Safflower,2014,Rabi       ,Karnataka,32626.0,26767,1238.5,4925220.96,10766.58,0.752666667
Safflower,2015,Rabi       ,Andhra Pradesh,304.0,212,940.7,48004.64,100.32,0.713333333
Safflower,2015,Rabi       ,Karnataka,53833.0,21027,1024.9,8500769.03,17764.89,0.360714286
Safflower,2016,Kharif     ,Andhra Pradesh,4.0,3,890.0,613.0,1.4,0.75
Safflower,2016,Rabi       ,Andhra Pradesh,125.0,79,890.0,19156.25,43.75,0.66
Safflower,2016,Rabi       ,Karnataka,32118.0,21654,1147.2,4922083.5,11241.3,0.385384615
Safflower,2017,Rabi       ,Andhra Pradesh,20.0,13,868.2,3148.8,7.6,0.65
Safflower,2017,Rabi       ,Karnataka,33701.0,30342,1111.7,5305885.44,12806.38,0.714615385
Safflower,2018,Kharif     ,Andhra Pradesh,40.0,6,1220.5,6488.0,14.0,0.15
Safflower,2018,Rabi       ,Andhra Pradesh,380.0,60,1220.5,61636.0,133.0,0.1525
Safflower,2018,Rabi       ,Karnataka,17020.0,9973,1419.1,2760644.0,5957.0,0.588695652
Safflower,2019,Rabi       ,Andhra Pradesh,710.0,348,899.2,121949.6,262.7,0.475
Safflower,2019,Rabi       ,Karnataka,26593.0,24556,1422.3,4567613.68,9839.41,0.8256
Safflower,1997,Rabi       ,Bihar,480.0,302,1303.7,45681.6,148.8,0.653636364
Safflower,1998,Rabi       ,Bihar,713.0,407,1332.5,70444.4,206.77,0.595714286
Safflower,1998,Rabi       ,Maharashtra,321300.0,176300,1314.8,31744440.0,93177.0,0.580434783
Safflower,1999,Rabi       ,Bihar,610.0,346,1402.7,64739.3,164.7,0.553333333
Safflower,1999,Rabi       ,Karnataka,100516.0,75485,1203.8,10667763.08,27139.32,0.796666667
Safflower,1999,Rabi       ,Madhya Pradesh,1887.0,497,1222.9,200267.31,509.49,0.259677419
Safflower,1999,Rabi       ,Maharashtra,317400.0,174500,1166.5,33685662.0,85698.0,0.637083333
Safflower,1999,Rabi       ,Odisha,2400.0,1150,1484.3,254712.0,648.0,0.374
Safflower,2000,Rabi       ,Bihar,275.0,220,1207.0,26996.75,71.5,0.847777778
Safflower,2000,Rabi       ,Chhattisgarh,949.0,204,896.4,93163.33,246.74,0.274444444
Safflower,2000,Rabi       ,Madhya Pradesh,142.0,39,723.3,13940.14,36.92,0.2275
Safflower,2000,Rabi       ,Maharashtra,296000.0,121900,1057.8,29058320.0,76960.0,0.454285714
Safflower,2000,Rabi       ,Odisha,1390.0,780,1066.0,136456.3,361.4,0.546
Safflower,2001,Rabi       ,Bihar,237.0,181,1247.0,24204.81,61.62,0.718888889
Safflower,2001,Rabi       ,Chhattisgarh,338.0,84,1550.0,34519.94,87.88,0.24125
Safflower,2001,Rabi       ,Madhya Pradesh,321.0,83,955.0,32783.73,83.46,0.266111111
Safflower,2001,Rabi       ,Maharashtra,286800.0,138900,1035.8,29290884.0,74568.0,0.496315789
Safflower,2001,Rabi       ,Odisha,3950.0,2190,1672.5,403413.5,1027.0,0.4905
Safflower,2002,Rabi       ,Bihar,162.0,132,1105.8,15336.54,40.5,0.82
Safflower,2002,Rabi       ,Chhattisgarh,515.0,119,1001.4,48755.05,128.75,0.253636364
Safflower,2002,Rabi       ,Karnataka,84946.0,55240,860.8,8041837.82,21236.5,0.585714286
Safflower,2002,Rabi       ,Madhya Pradesh,280.0,47,800.8,26507.6,70.0,0.215555556
Safflower,2002,Rabi       ,Maharashtra,262900.0,116400,967.4,24888743.0,65725.0,0.427894737
Safflower,2002,Rabi       ,Odisha,1250.0,500,1102.8,118337.5,312.5,0.51
Safflower,2003,Rabi       ,Bihar,200.0,162,1353.9,19796.0,48.0,0.864285714
Safflower,2003,Rabi       ,Chhattisgarh,880.0,214,1643.7,87102.4,211.2,0.193333333
Safflower,2003,Rabi       ,Madhya Pradesh,632.0,172,1163.0,62555.36,151.68,0.24
