Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.575714286
Sesamum,1997,Whole Year ,West Bengal,127913.0,88943,1852.9,12173480.21,39653.03,0.649444444
Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667
Sesamum,1998,Kharif     ,Assam,15940.0,8210,2354.4,1574872.0,4622.6,0.485217391
Sesamum,1998,Kharif     ,Karnataka,115250.0,46673,1260.8,11386700.0,33422.5,0.417307692
Sesamum,1998,Kharif     ,Kerala,3303.0,1057,3151.5,326336.4,957.87,0.467272727
Sesamum,1998,Kharif     ,Meghalaya,1322.0,694,6552.7,130613.6,383.38,0.575714286
Sesamum,1998,Whole Year ,West Bengal,100425.0,85448,2152.5,9921990.0,29123.25,0.741111111
Sesamum,1999,Kharif     ,Assam,15143.0,7866,2201.8,1607126.59,4088.61,0.485217391
Sesamum,1999,Kharif     ,Kerala,2612.0,718,2914.6,277211.56,705.24,0.374545455
Sesamum,1999,Kharif     ,Meghalaya,1304.0,680,6200.3,138393.52,352.08,0.588571429
Sesamum,1999,Autumn     ,West Bengal,891.0,406,2318.1,94561.83,240.57,0.377777778
Sesamum,1999,Summer     ,West Bengal,102044.0,72230,2318.1,10829929.72,27551.88,0.638235294
Sesamum,1999,Winter     ,West Bengal,2510.0,1285,2318.1,266386.3,677.7,0.5425
Sesamum,2000,Kharif     ,Andhra Pradesh,143737.0,29348,935.6,14110661.29,37371.62,0.192272727
Sesamum,2000,Rabi       ,Andhra Pradesh,39066.0,7893,935.6,3835109.22,10157.16,0.204444444
Sesamum,2000,Kharif     ,Assam,14960.0,8076,1965.5,1468623.2,3889.6,0.489565217
Sesamum,2000,Kharif     ,Karnataka,97589.0,40039,1213.3,9580312.13,25373.14,0.4372
Sesamum,2000,Kharif     ,Kerala,2002.0,797,2412.6,196536.34,520.52,0.345833333
Sesamum,2000,Kharif     ,Meghalaya,1317.0,694,6258.8,129289.89,342.42,0.614285714
Sesamum,2000,Whole Year ,West Bengal,107161.0,92276,1907.7,10519995.37,27861.86,0.736111111
Sesamum,2001,Kharif     ,Andhra Pradesh,92861.0,16651,928.4,9483893.93,24143.86,0.168095238
Sesamum,2001,Rabi       ,Andhra Pradesh,39475.0,10049,928.4,4031581.75,10263.5,0.283684211
Sesamum,2001,Kharif     ,Assam,14738.0,8054,1824.7,1505191.94,3831.88,0.489565217
Sesamum,2001,Kharif     ,Karnataka,73064.0,27086,1002.9,7462026.32,18996.64,0.386
Sesamum,2001,Kharif     ,Kerala,878.0,284,2946.7,89670.14,228.28,0.325
Sesamum,2001,Kharif     ,Meghalaya,1331.0,694,4241.0,135935.03,346.06,0.568571429
Sesamum,2001,Whole Year ,West Bengal,108557.0,90837,1556.6,11086926.41,28224.82,0.725555556
Sesamum,2002,Kharif     ,Andhra Pradesh,87085.0,12499,648.1,8244336.95,21771.25,0.128571429
Sesamum,2002,Rabi       ,Andhra Pradesh,28050.0,5545,648.1,2655493.5,7012.5,0.209444444
Sesamum,2002,Kharif     ,Assam,14290.0,7789,1973.6,1352834.3,3572.5,0.49
Sesamum,2002,Kharif     ,Kerala,811.0,260,2511.2,76777.37,202.75,0.277272727
Sesamum,2002,Kharif     ,Tamil Nadu,64481.0,28047,315.9,6104416.27,16120.25,0.401785714
Sesamum,2002,Autumn     ,West Bengal,1049.0,589,1629.1,99308.83,262.25,0.511428571
Sesamum,2002,Summer     ,West Bengal,107105.0,87306,1629.1,10139630.35,26776.25,0.773888889
Sesamum,2002,Winter     ,West Bengal,2782.0,1573,1629.1,263371.94,695.5,0.58
Sesamum,2003,Kharif     ,Andhra Pradesh,114516.0,33235,826.0,11334793.68,27483.84,0.262380952
Sesamum,2003,Rabi       ,Andhra Pradesh,46892.0,9544,826.0,4641370.16,11254.08,0.204210526
Sesamum,2003,Kharif     ,Assam,14465.0,7953,2213.7,1431745.7,3471.6,0.489130435
