Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,26457.26,86.18,0.0
Sunflower,1998,Kharif     ,Karnataka,430676.0,127090,1260.8,42550788.8,124896.04,0.382608696
Sunflower,1998,Rabi       ,Karnataka,359514.0,112736,1260.8,35519983.2,104259.06,0.390416667
Sunflower,1998,Summer     ,Karnataka,43156.0,24211,1260.8,4263812.8,12515.24,0.595217391
Sunflower,1998,Kharif     ,West Bengal,149.0,111,2152.5,14721.2,43.21,0.71
Sunflower,1999,Kharif     ,West Bengal,150.0,90,2318.1,15919.5,40.5,0.683333333
Sunflower,2000,Kharif     ,Andhra Pradesh,197261.0,167828,935.6,19365112.37,51287.86,1.038421053
Sunflower,2000,Kharif     ,Karnataka,188140.0,100627,1213.3,18469703.8,48916.4,0.5375
Sunflower,2000,Rabi       ,Karnataka,261152.0,110005,1213.3,25637291.84,67899.52,0.510434783
Sunflower,2000,Summer     ,Karnataka,28499.0,20405,1213.3,2797746.83,7409.74,0.7235
Sunflower,2000,Kharif     ,West Bengal,246.0,156,1907.7,24149.82,63.96,1.276666667
Sunflower,2001,Kharif     ,Andhra Pradesh,267613.0,219397,928.4,27331315.69,69579.38,0.986111111
Sunflower,2001,Kharif     ,Karnataka,124184.0,59516,1002.9,12682911.92,32287.84,0.520833333
Sunflower,2001,Rabi       ,Karnataka,418198.0,168890,1002.9,42710561.74,108731.48,0.556363636
Sunflower,2001,Summer     ,Karnataka,41936.0,34270,1002.9,4282923.68,10903.36,0.820526316
Sunflower,2001,Kharif     ,West Bengal,1279.0,1691,1556.6,130624.27,332.54,1.048
Sunflower,2002,Kharif     ,Andhra Pradesh,416579.0,276207,648.1,39437533.93,104144.75,0.9025
Sunflower,2002,Kharif     ,Tamil Nadu,7709.0,8908,315.9,729811.03,1927.25,1.075217391
Sunflower,2002,Kharif     ,West Bengal,2369.0,3207,1629.1,224273.23,592.25,1.062
Sunflower,2003,Kharif     ,Andhra Pradesh,490757.0,333265,826.0,48575127.86,117781.68,1.057142857
