Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221428571
Sweet potato,1998,Whole Year ,Assam,9433.0,32437,2354.4,931980.4,2735.57,3.435652174
Sweet potato,1998,Whole Year ,Kerala,1099.0,11924,3151.5,108581.2,318.71,11.718
Sweet potato,1998,Whole Year ,Meghalaya,5181.0,17291,6552.7,511882.8,1502.49,3.302857143
Sweet potato,1999,Whole Year ,Assam,8955.0,30979,2201.8,950394.15,2417.85,3.409130435
Sweet potato,1999,Whole Year ,Kerala,989.0,10698,2914.6,104962.57,267.03,11.79636364
Sweet potato,1999,Whole Year ,Meghalaya,5220.0,17591,6200.3,553998.6,1409.4,3.415714286
Sweet potato,2000,Whole Year ,Andhra Pradesh,1938.0,25467,935.6,190253.46,503.88,13.93277778
Sweet potato,2000,Whole Year ,Assam,8757.0,30351,1965.5,859674.69,2276.82,3.435217391
Sweet potato,2000,Whole Year ,Karnataka,3501.0,25771,1213.3,343693.17,910.26,6.222142857
Sweet potato,2000,Whole Year ,Kerala,816.0,8963,2412.6,80106.72,212.16,11.46615385
Sweet potato,2000,Whole Year ,Meghalaya,5143.0,17363,6258.8,504888.31,1337.18,3.431428571
Sweet potato,2001,Whole Year ,Andhra Pradesh,1945.0,25810,928.4,198642.85,505.7,14.05764706
Sweet potato,2001,Whole Year ,Assam,8343.0,28665,1824.7,852070.59,2169.18,3.326956522
Sweet potato,2001,Whole Year ,Kerala,747.0,8672,2946.7,76291.11,194.22,11.49153846
Sweet potato,2001,Whole Year ,Meghalaya,4942.0,16627,4241.0,504726.46,1284.92,3.447142857
Sweet potato,2002,Whole Year ,Andhra Pradesh,1286.0,13380,648.1,121745.62,321.5,11.29588235
Sweet potato,2002,Whole Year ,Assam,8243.0,28460,1973.6,780364.81,2060.75,3.405652174
Sweet potato,2002,Whole Year ,Kerala,850.0,10463,2511.2,80469.5,212.5,11.46928571
Sweet potato,2002,Whole Year ,Tamil Nadu,814.0,11121,315.9,77061.38,203.5,13.8292
