Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819,3252.4,12645713.75,41191.25,22.80357143
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537142857
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0
Tapioca,1998,Whole Year ,Assam,2798.0,13261,2354.4,276442.4,811.42,4.445217391
Tapioca,1998,Whole Year ,Kerala,112774.0,2630155,3151.5,11142071.2,32704.46,25.51785714
Tapioca,1998,Whole Year ,Meghalaya,3963.0,21251,6552.7,391544.4,1149.27,6.547142857
Tapioca,1999,Whole Year ,Assam,2836.0,13444,2201.8,300984.68,765.72,4.436521739
Tapioca,1999,Whole Year ,Kerala,111922.0,2531752,2914.6,11878281.86,30218.94,24.25785714
Tapioca,1999,Whole Year ,Meghalaya,4022.0,21497,6200.3,426854.86,1085.94,6.39
Tapioca,1999,Whole Year ,Puducherry,365.0,10571,1434.5875,38737.45,98.55,18.29
Tapioca,2000,Whole Year ,Andhra Pradesh,21506.0,166124,935.6,2111244.02,5591.56,7.528
Tapioca,2000,Whole Year ,Assam,2859.0,13546,1965.5,280668.03,743.34,4.423478261
Tapioca,2000,Whole Year ,Karnataka,1030.0,8018,1213.3,101115.1,267.8,9.558571429
Tapioca,2000,Whole Year ,Kerala,114609.0,2586903,2412.6,11251165.53,29798.34,24.29642857
Tapioca,2000,Whole Year ,Meghalaya,4110.0,21879,6258.8,403478.7,1068.6,5.98
Tapioca,2000,Whole Year ,Puducherry,342.0,9685,1434.5875,33574.14,88.92,18.69
Tapioca,2001,Whole Year ,Andhra Pradesh,17694.0,146361,928.4,1807088.22,4600.44,7.83
Tapioca,2001,Whole Year ,Assam,2904.0,13710,1824.7,296585.52,755.04,4.384347826
Tapioca,2001,Whole Year ,Kerala,111189.0,2455880,2946.7,11355732.57,28909.14,23.09642857
Tapioca,2001,Whole Year ,Meghalaya,3971.0,20637,4241.0,405558.23,1032.46,6.401428571
Tapioca,2001,Whole Year ,Puducherry,464.0,15540,1434.5875,47388.32,120.64,21.5
Tapioca,2002,Whole Year ,Andhra Pradesh,13138.0,79474,648.1,1243774.46,3284.5,5.034285714
Tapioca,2002,Whole Year ,Assam,2835.0,13501,1973.6,268389.45,708.75,4.415
Tapioca,2002,Whole Year ,Kerala,104179.0,2413217,2511.2,9862625.93,26044.75,24.47785714
Tapioca,2002,Whole Year ,Tamil Nadu,67951.0,2146534,315.9,6432921.17,16987.75,32.53576923
Tapioca,2003,Whole Year ,Andhra Pradesh,19456.0,122145,826.0,1925754.88,4669.44,6.29
Tapioca,2003,Whole Year ,Assam,2873.0,13613,2213.7,284369.54,689.52,4.383636364
Tapioca,2003,Whole Year ,Karnataka,1058.0,8357,867.6,104720.84,253.92,9.595714286
Tapioca,2003,Whole Year ,Kerala,94297.0,2540790,2386.0,9333517.06,22631.28,28.62785714
Tapioca,2003,Whole Year ,Meghalaya,3974.0,20588,3321.3,393346.52,953.76,6.367142857
Tapioca,2003,Whole Year ,Puducherry,567.0,16716,1434.5875,56121.66,136.08,20.005
Tapioca,2003,Whole Year ,Tamil Nadu,95022.0,3201414,345.6,9405277.56,22805.28,33.38214286
Tapioca,2004,Whole Year ,Karnataka,1066.0,8428,1117.7,115490.44,223.86,9.385
