Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67
Turmeric,1997,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.452941176
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.77,3869.11,1.661111111
Turmeric,1998,Whole Year ,Assam,10729.0,7416,2354.4,1060025.2,3111.41,0.666956522
Turmeric,1998,Whole Year ,Karnataka,5007.0,25386,1260.8,494691.6,1452.03,4.682380952
Turmeric,1998,Whole Year ,Kerala,3706.0,8034,3151.5,366152.8,1074.74,1.997857143
Turmeric,1998,Whole Year ,Meghalaya,1375.0,6997,6552.7,135850.0,398.75,5.624285714
Turmeric,1998,Whole Year ,West Bengal,12763.0,21487,2152.5,1260984.4,3701.27,1.569444444
Turmeric,1999,Whole Year ,Assam,10980.0,7586,2201.8,1165307.4,2964.6,0.667391304
Turmeric,1999,Whole Year ,Kerala,3971.0,8362,2914.6,421442.23,1072.17,1.999285714
Turmeric,1999,Whole Year ,Meghalaya,1458.0,8196,6200.3,154737.54,393.66,5.284285714
Turmeric,1999,Whole Year ,West Bengal,13283.0,20023,2318.1,1409724.79,3586.41,1.425555556
Turmeric,2000,Whole Year ,Assam,11626.0,8032,1965.5,1141324.42,3022.76,0.668695652
Turmeric,2000,Whole Year ,Karnataka,9251.0,41040,1213.3,908170.67,2405.26,4.298095238
Turmeric,2000,Whole Year ,Kerala,4127.0,9037,2412.6,405147.59,1073.02,1.905714286
Turmeric,2000,Whole Year ,Meghalaya,1523.0,8565,6258.8,149512.91,395.98,5.464285714
Turmeric,2000,Whole Year ,West Bengal,13885.0,22445,1907.7,1363090.45,3610.1,1.536111111
Turmeric,2001,Whole Year ,Assam,11812.0,8164,1824.7,1206359.56,3071.12,0.672173913
Turmeric,2001,Whole Year ,Karnataka,7058.0,36369,1002.9,720833.54,1835.08,4.797272727
Turmeric,2001,Whole Year ,Kerala,3558.0,7895,2946.7,363378.54,925.08,2.066428571
Turmeric,2001,Whole Year ,Meghalaya,1523.0,8577,4241.0,155543.99,395.98,5.511428571
Turmeric,2001,Whole Year ,West Bengal,12794.0,22031,1556.6,1306651.22,3326.44,1.602222222
Turmeric,2002,Whole Year ,Assam,12066.0,8315,1973.6,1142288.22,3016.5,0.669130435
Turmeric,2002,Whole Year ,Kerala,3140.0,6938,2511.2,297263.8,785.0,2.062857143
Turmeric,2002,Whole Year ,Tamil Nadu,17298.0,64536,315.9,1637601.66,4324.5,3.67
Turmeric,2002,Whole Year ,West Bengal,11731.0,21346,1629.1,1110573.77,2932.75,1.704444444
Turmeric,2003,Whole Year ,Assam,12249.0,8420,2213.7,1212406.02,2939.76,0.669130435
Turmeric,2003,Whole Year ,Karnataka,5410.0,26381,867.6,535481.8,1298.4,4.343809524
Turmeric,2003,Whole Year ,Kerala,2774.0,5652,2386.0,274570.52,665.76,1.967857143
Turmeric,2003,Whole Year ,Meghalaya,1561.0,8656,3321.3,154507.78,374.64,5.471428571
Turmeric,2003,Whole Year ,Tamil Nadu,16181.0,67250,345.6,1601595.38,3883.44,3.909615385
Turmeric,2003,Whole Year ,West Bengal,12619.0,24496,1526.7,1249028.62,3028.56,1.866111111
Turmeric,2004,Whole Year ,Karnataka,4080.0,19386,1117.7,442027.2,856.8,4.482857143
Turmeric,2004,Whole Year ,Kerala,2881.0,6244,2880.2,312127.54,605.01,2.025
Turmeric,2004,Whole Year ,Meghalaya,1682.0,9016,4767.9,182227.88,353.22,4.715714286
Turmeric,2004,Whole Year ,Tamil Nadu,21616.0,118447,1034.0,2341877.44,4539.36,5.096071429
Turmeric,2005,Whole Year ,Assam,11611.0,8500,2184.6,1392391.12,2438.31,0.728888889
Turmeric,2005,Whole Year ,Karnataka,6346.0,33891,1316.2,761012.32,1332.66,5.556363636
Turmeric,2005,Whole Year ,Kerala,3384.0,8237,3030.9,405809.28,710.64,2.211428571
Turmeric,2005,Whole Year ,Meghalaya,1817.0,10508,3374.4,217894.64,381.57,5.621428571
Turmeric,2005,Whole Year ,Tamil Nadu,25970.0,143358,1364.1,3114322.4,5453.7,5.547037037
Turmeric,2005,Whole Year ,West Bengal,11844.0,25049,1650.1,1420332.48,2487.24,2.017777778
Turmeric,2006,Rabi       ,Meghalaya,1912.0,14449,2454.7,244181.52,420.64,6.125714286
Turmeric,2006,Whole Year ,Assam,11741.0,8538,1774.9,1499443.11,2583.02,0.723703704
Turmeric,2006,Whole Year ,Karnataka,7477.0,37752,1146.3,954887.67,1644.94,4.7735
Turmeric,2006,Whole Year ,Kerala,3917.0,9980,3429.7,500240.07,861.74,2.168571429
Turmeric,2006,Whole Year ,Tamil Nadu,30528.0,175388,927.9,3898730.88,6716.16,5.748148148
Turmeric,2006,Whole Year ,West Bengal,13659.0,30069,1631.4,1744390.89,3004.98,1.942777778
Turmeric,2007,Rabi       ,Puducherry,4.0,6,1434.5875,533.6,0.64,1.5
Turmeric,2007,Whole Year ,Assam,12529.0,8629,2154.1,1671368.6,2004.64,0.692592593
Turmeric,2007,Whole Year ,Karnataka,13500.0,104980,1323.3,1800900.0,2160.0,7.861111111
Turmeric,2007,Whole Year ,Kerala,3155.0,7434,3489.6,420877.0,504.8,2.167857143
Turmeric,2007,Whole Year ,Tamil Nadu,27303.0,146008,1067.2,3642220.2,4368.48,5.253846154
Turmeric,2007,Whole Year ,West Bengal,14872.0,34601,2007.5,1983924.8,2379.52,2.099444444
Turmeric,2008,Rabi       ,Puducherry,3.0,5,1434.5875,429.12,0.27,1.67
Turmeric,2008,Whole Year ,Assam,14459.0,10497,2109.9,2068215.36,1301.31,0.792962963
Turmeric,2008,Whole Year ,Karnataka,14159.0,67404,1164.1,2025303.36,1274.31,4.191052632
Turmeric,2008,Whole Year ,Kerala,2782.0,6364,2524.8,397937.28,250.38,2.169285714
Turmeric,2008,Whole Year ,Meghalaya,1959.0,10046,3114.3,280215.36,176.31,4.862857143
Turmeric,2008,Whole Year ,Tamil Nadu,29875.0,172334,1201.9,4273320.0,2688.75,5.326296296
Turmeric,2008,Whole Year ,West Bengal,15216.0,35372,1560.1,2176496.64,1369.44,2.138888889
Turmeric,2009,Kharif     ,Puducherry,3.0,0,1434.5875,467.46,0.51,0.0
Turmeric,2009,Rabi       ,Puducherry,3.0,5,1434.5875,467.46,0.51,1.67
Turmeric,2009,Whole Year ,Assam,13883.0,9719,1727.1,2163249.06,2360.11,0.744074074
Turmeric,2009,Whole Year ,Karnataka,17873.0,89932,1321.0,2784970.86,3038.41,4.762941176
Turmeric,2009,Whole Year ,Kerala,2438.0,6066,2821.5,379889.16,414.46,2.276428571
Turmeric,2009,Whole Year ,Tamil Nadu,33366.0,169071,928.5,5199090.12,5672.22,5.103076923
Turmeric,2010,Kharif     ,Puducherry,4.0,6,1434.5875,664.44,0.96,1.5
Turmeric,2010,Whole Year ,Assam,14963.0,10623,2578.5,2485503.93,3591.12,0.753333333
Turmeric,2010,Whole Year ,Karnataka,14162.0,70158,1317.7,2352449.82,3398.88,4.3825
Turmeric,2010,Whole Year ,Kerala,2390.78,6198,3131.8,397132.4658,573.7872,2.415
Turmeric,2010,Whole Year ,Meghalaya,1928.0,10058,3119.7,320260.08,462.72,5.167142857
Turmeric,2011,Kharif     ,Puducherry,2.0,3,1434.5875,335.04,0.66,1.5
Turmeric,2011,Rabi       ,Puducherry,4.0,6,1434.5875,670.08,1.32,1.5
Turmeric,2011,Whole Year ,Assam,15447.0,13442,1743.4,2587681.44,5097.51,0.864444444
Turmeric,2011,Whole Year ,Karnataka,25525.0,128206,1178.986364,4275948.0,8423.25,4.57875
Turmeric,2011,Whole Year ,Kerala,2970.45,7946,3035.1,497609.784,980.2485,2.467142857
Turmeric,2011,Whole Year ,Meghalaya,2000.0,10512,4083.104545,335040.0,660.0,5.21
Turmeric,2011,Whole Year ,Tamil Nadu,67246.0,368413,926.5,11265049.92,22191.18,5.563793103
Turmeric,2012,Whole Year ,Assam,16309.0,15583,2167.5,2459397.2,5055.79,0.928888889
Turmeric,2012,Whole Year ,Karnataka,19688.0,92405,956.2,2968950.4,6103.28,4.742173913
Turmeric,2012,Whole Year ,Kerala,2628.0,6904,2187.6,396302.4,814.68,2.421428571
Turmeric,2012,Whole Year ,Meghalaya,2208.0,12831,2945.3,332966.4,684.48,5.747142857
Turmeric,2013,Whole Year ,Assam,16309.0,15782,1797.7,2356487.41,4403.43,0.950740741
Turmeric,2013,Whole Year ,Karnataka,13356.0,63617,1235.6,1929808.44,3606.12,4.687
Turmeric,2013,Whole Year ,Kerala,2430.0,6253,3255.4,351110.7,656.1,2.362857143
Turmeric,2013,Whole Year ,Meghalaya,2465.0,15126,2448.4,356167.85,665.55,5.89
