Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628333333
Urad,1998,Kharif     ,West Bengal,58878.0,25071,2152.5,5817146.4,17074.62,0.402222222
Urad,1998,Rabi       ,West Bengal,15112.0,9700,2152.5,1493065.6,4382.48,0.649090909
Urad,1999,Rabi       ,Puducherry,3159.0,2467,1434.5875,335264.67,852.93,0.763333333
Urad,1999,Kharif     ,West Bengal,60254.0,35523,2318.1,6394757.02,16268.58,0.566666667
Urad,1999,Rabi       ,West Bengal,18527.0,10987,2318.1,1966270.51,5002.29,0.636923077
Urad,2000,Kharif     ,Andhra Pradesh,99423.0,28296,935.6,9760355.91,25849.98,0.1615
Urad,2000,Rabi       ,Andhra Pradesh,455864.0,362283,935.6,44752168.88,118524.64,0.655454545
Urad,2000,Kharif     ,Karnataka,133729.0,51657,1213.3,13128175.93,34769.54,0.3965
Urad,2000,Rabi       ,Karnataka,11924.0,4171,1213.3,1170579.08,3100.24,0.363125
Urad,2000,Kharif     ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Urad,2000,Rabi       ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Urad,2000,Kharif     ,West Bengal,56233.0,27815,1907.7,5520393.61,14620.58,0.462222222
Urad,2000,Rabi       ,West Bengal,13860.0,8813,1907.7,1360636.2,3603.6,0.612307692
Urad,2001,Kharif     ,Andhra Pradesh,107061.0,44570,928.4,10934139.93,27835.86,0.388095238
Urad,2001,Rabi       ,Andhra Pradesh,519831.0,338499,928.4,53090340.03,135156.06,0.439545455
Urad,2001,Rabi       ,Assam,41785.0,23243,1824.7,4267502.05,10864.1,0.55173913
Urad,2001,Kharif     ,Karnataka,150588.0,55626,1002.9,15379552.44,39152.88,0.347619048
Urad,2001,Rabi       ,Karnataka,11853.0,4448,1002.9,1210546.89,3081.78,0.347142857
Urad,2001,Rabi       ,Puducherry,811.0,267,1434.5875,82827.43,210.86,0.423333333
Urad,2001,Kharif     ,West Bengal,49291.0,32299,1556.6,5034089.83,12815.66,0.600555556
Urad,2001,Rabi       ,West Bengal,13499.0,14187,1556.6,1378652.87,3509.74,0.892727273
Urad,2002,Kharif     ,Andhra Pradesh,110160.0,45241,648.1,10428847.2,27540.0,0.240454545
Urad,2002,Rabi       ,Andhra Pradesh,584271.0,330894,648.1,55312935.57,146067.75,0.386666667
Urad,2002,Rabi       ,Assam,40381.0,20100,1973.6,3822869.27,10095.25,0.498695652
Urad,2002,Kharif     ,Tamil Nadu,196888.0,78555,315.9,18639386.96,49222.0,0.422962963
Urad,2002,Kharif     ,West Bengal,48645.0,31833,1629.1,4605222.15,12161.25,0.523333333
Urad,2002,Rabi       ,West Bengal,13493.0,8636,1629.1,1277382.31,3373.25,0.604545455
Urad,2003,Kharif     ,Andhra Pradesh,95454.0,66827,826.0,9448036.92,22908.96,0.656363636
Urad,2003,Rabi       ,Andhra Pradesh,343078.0,133336,826.0,33957860.44,82338.72,0.408
Urad,2003,Rabi       ,Assam,39588.0,20696,2213.7,3918420.24,9501.12,0.519130435
Urad,2003,Kharif     ,Karnataka,129237.0,32541,867.6,12791878.26,31016.88,0.224444444
Urad,2003,Rabi       ,Karnataka,11397.0,6002,867.6,1128075.06,2735.28,0.49
Urad,2003,Rabi       ,Puducherry,1174.0,437,1434.5875,116202.52,281.76,0.71
Urad,2003,Kharif     ,Tamil Nadu,185732.0,75920,345.6,18383753.36,44575.68,0.412962963
Urad,2003,Kharif     ,West Bengal,51227.0,31163,1526.7,5070448.46,12294.48,0.523529412
Urad,2003,Rabi       ,West Bengal,15147.0,11106,1526.7,1499250.06,3635.28,0.665
Urad,2004,Kharif     ,Karnataka,128006.0,14678,1117.7,13868170.04,26881.26,0.134285714
Urad,2004,Rabi       ,Karnataka,4505.0,1550,1117.7,488071.7,946.05,0.347857143
Urad,2004,Kharif     ,Tamil Nadu,226364.0,82998,1034.0,24524275.76,47536.44,0.4075
Urad,2005,Kharif     ,Andhra Pradesh,79206.0,33844,1075.5,9498383.52,16633.26,0.384761905
Urad,2005,Rabi       ,Andhra Pradesh,341832.0,216227,1075.5,40992493.44,71784.72,0.621052632
Urad,2005,Rabi       ,Assam,35376.0,17331,2184.6,4242289.92,7428.96,0.488888889
Urad,2005,Kharif     ,Karnataka,100773.0,19710,1316.2,12084698.16,21162.33,0.19
Urad,2005,Rabi       ,Karnataka,10445.0,5001,1316.2,1252564.4,2193.45,0.473333333
Urad,2005,Kharif     ,Tamil Nadu,215448.0,70758,1364.1,25836524.16,45244.08,0.403571429
Urad,2005,Kharif     ,West Bengal,48605.0,30714,1650.1,5828711.6,10207.05,0.492352941
Urad,2005,Rabi       ,West Bengal,8514.0,10212,1650.1,1020998.88,1787.94,0.808181818
