Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2003,Kharif     ,Delhi,134.0,189,962.3,13263.32,32.16,1.41
Bajra,2003,Kharif     ,Delhi,2334.0,3762,962.3,231019.32,560.16,1.61
Barley,2003,Kharif     ,Delhi,86.0,255,962.3,8512.28,20.64,2.97
Gram,2003,Rabi       ,Delhi,42.0,64,962.3,4157.16,10.08,1.52
Jowar,2003,Kharif     ,Delhi,8686.0,10727,962.3,859740.28,2084.64,1.23
Maize,2003,Kharif     ,Delhi,93.0,184,962.3,9205.14,22.32,1.98
Other Kharif pulses,2003,Kharif     ,Delhi,163.0,230,962.3,16133.74,39.12,1.41
Potato,2003,Whole Year ,Delhi,62.0,306,962.3,6136.76,14.88,4.94
Rice,2003,Kharif     ,Delhi,6549.0,17909,962.3,648220.02,1571.76,2.73
Sugarcane,2003,Whole Year ,Delhi,4.0,293,962.3,395.92,0.96,73.25
Wheat,2003,Rabi       ,Delhi,18973.0,82893,962.3,1877947.54,4553.52,4.37
Arhar/Tur,2004,Kharif     ,Delhi,119.0,170,651.9,12892.46,24.99,1.43
Bajra,2004,Kharif     ,Delhi,1708.0,3117,651.9,185044.72,358.68,1.82
Barley,2004,Kharif     ,Delhi,71.0,191,651.9,7692.14,14.91,2.69
Gram,2004,Rabi       ,Delhi,57.0,75,651.9,6175.38,11.97,1.32
Jowar,2004,Kharif     ,Delhi,9208.0,6350,651.9,997594.72,1933.68,0.69
Maize,2004,Kharif     ,Delhi,82.0,125,651.9,8883.88,17.22,1.52
Other Kharif pulses,2004,Kharif     ,Delhi,150.0,215,651.9,16251.0,31.5,1.43
Rice,2004,Kharif     ,Delhi,8431.0,28216,651.9,913414.54,1770.51,3.35
Sugarcane,2004,Whole Year ,Delhi,4.0,301,651.9,433.36,0.84,75.25
Wheat,2004,Rabi       ,Delhi,18695.0,80800,651.9,2025416.3,3925.95,4.32
Arhar/Tur,2005,Kharif     ,Delhi,151.0,227,653.1,18107.92,31.71,1.5
Bajra,2005,Kharif     ,Delhi,1690.0,3031,653.1,202664.8,354.9,1.79
Barley,2005,Kharif     ,Delhi,70.0,183,653.1,8394.4,14.7,2.61
Gram,2005,Rabi       ,Delhi,47.0,67,653.1,5636.24,9.87,1.43
Jowar,2005,Kharif     ,Delhi,8912.0,7843,653.1,1068727.04,1871.52,0.88
Maize,2005,Kharif     ,Delhi,79.0,144,653.1,9473.68,16.59,1.82
Other Kharif pulses,2005,Kharif     ,Delhi,180.0,270,653.1,21585.6,37.8,1.5
Potato,2005,Whole Year ,Delhi,53.0,841,653.1,6355.76,11.13,15.87
Rice,2005,Kharif     ,Delhi,7506.0,21092,653.1,900119.52,1576.26,2.81
Sugarcane,2005,Whole Year ,Delhi,4.0,225,653.1,479.68,0.84,56.25
Wheat,2005,Rabi       ,Delhi,18279.0,79404,653.1,2192017.68,3838.59,4.34
Arhar/Tur,2006,Kharif     ,Delhi,385.0,578,462.7,49168.35,84.7,1.5
Bajra,2006,Kharif     ,Delhi,1592.0,2945,462.7,203314.32,350.24,1.85
Barley,2006,Kharif     ,Delhi,75.0,196,462.7,9578.25,16.5,2.61
Gram,2006,Rabi       ,Delhi,45.0,65,462.7,5746.95,9.9,1.44
Jowar,2006,Kharif     ,Delhi,8840.0,8354,462.7,1128956.4,1944.8,0.95
Maize,2006,Kharif     ,Delhi,67.0,122,462.7,8556.57,14.74,1.82
Other Kharif pulses,2006,Kharif     ,Delhi,180.0,271,462.7,22987.8,39.6,1.51
Potato,2006,Whole Year ,Delhi,55.0,873,462.7,7024.05,12.1,15.87
Rice,2006,Kharif     ,Delhi,7381.0,20815,462.7,942627.51,1623.82,2.82
Sugarcane,2006,Whole Year ,Delhi,4.0,301,462.7,510.84,0.88,75.25
Wheat,2006,Rabi       ,Delhi,17884.0,77885,462.7,2283965.64,3934.48,4.36
Bajra,1998,Kharif     ,Delhi,2595.0,2091,784.5,256386.0,752.55,0.81
Barley,1998,Kharif     ,Delhi,305.0,83,784.5,30134.0,88.45,0.27
Cotton(lint),1998,Kharif     ,Delhi,1.0,1,784.5,98.8,0.29,1.0
Gram,1998,Rabi       ,Delhi,152.0,36,784.5,15017.6,44.08,0.24
Jowar,1998,Kharif     ,Delhi,9052.0,4058,784.5,894337.6,2625.08,0.45
Maize,1998,Kharif     ,Delhi,165.0,132,784.5,16302.0,47.85,0.8
Potato,1998,Whole Year ,Delhi,142.0,1048,784.5,14029.6,41.18,7.38
Rice,1998,Kharif     ,Delhi,7303.0,10799,784.5,721536.4,2117.87,1.48
Sugarcane,1998,Whole Year ,Delhi,5.0,300,784.5,494.0,1.45,60.0
Wheat,1998,Rabi       ,Delhi,31037.0,107729,784.5,3066455.6,9000.73,3.47
Bajra,1999,Kharif     ,Delhi,2719.0,3749,365.9,288567.47,734.13,1.38
Barley,1999,Kharif     ,Delhi,261.0,98,365.9,27699.93,70.47,0.38
Cotton(lint),1999,Kharif     ,Delhi,1.0,1,365.9,106.13,0.27,1.0
Gram,1999,Rabi       ,Delhi,62.0,13,365.9,6580.06,16.74,0.21
Jowar,1999,Kharif     ,Delhi,8515.0,3681,365.9,903696.95,2299.05,0.43
Maize,1999,Kharif     ,Delhi,58.0,42,365.9,6155.54,15.66,0.72
Potato,1999,Whole Year ,Delhi,157.0,1155,365.9,16662.41,42.39,7.36
Rice,1999,Kharif     ,Delhi,8105.0,15279,365.9,860183.65,2188.35,1.89
Sugarcane,1999,Whole Year ,Delhi,4.0,200,365.9,424.52,1.08,50.0
Wheat,1999,Rabi       ,Delhi,33505.0,122058,365.9,3555885.65,9046.35,3.64
Bajra,2000,Kharif     ,Delhi,3119.0,4634,544.3,306192.23,810.94,1.49
Barley,2000,Kharif     ,Delhi,235.0,75,544.3,23069.95,61.1,0.32
Cotton(lint),2000,Kharif     ,Delhi,1.0,1,544.3,98.17,0.26,1.0
Gram,2000,Rabi       ,Delhi,50.0,8,544.3,4908.5,13.0,0.16
Jowar,2000,Kharif     ,Delhi,8625.0,8177,544.3,846716.25,2242.5,0.95
Maize,2000,Kharif     ,Delhi,55.0,90,544.3,5399.35,14.3,1.64
Potato,2000,Whole Year ,Delhi,2487.0,45950,544.3,244148.79,646.62,18.48
Rice,2000,Kharif     ,Delhi,6053.0,11420,544.3,594223.01,1573.78,1.89
Sugarcane,2000,Whole Year ,Delhi,5.0,200,544.3,490.85,1.3,40.0
Wheat,2000,Rabi       ,Delhi,27836.0,97927,544.3,2732660.12,7237.36,3.52
Bajra,2001,Kharif     ,Delhi,2632.0,5140,611.9,268806.16,684.32,1.95
Barley,2001,Kharif     ,Delhi,122.0,60,611.9,12459.86,31.72,0.49
Cotton(lint),2001,Kharif     ,Delhi,1.0,1,611.9,102.13,0.26,1.0
Gram,2001,Rabi       ,Delhi,51.0,8,611.9,5208.63,13.26,0.16
Jowar,2001,Kharif     ,Delhi,8627.0,8140,611.9,881075.51,2243.02,0.94
Maize,2001,Kharif     ,Delhi,53.0,95,611.9,5412.89,13.78,1.79
Other Kharif pulses,2001,Kharif     ,Delhi,545.0,643,611.9,55660.85,141.7,1.18
Potato,2001,Whole Year ,Delhi,63.0,461,611.9,6434.19,16.38,7.32
Rice,2001,Kharif     ,Delhi,6405.0,12063,611.9,654142.65,1665.3,1.88
Sugarcane,2001,Whole Year ,Delhi,3.0,200,611.9,306.39,0.78,66.67
Wheat,2001,Rabi       ,Delhi,26114.0,91660,611.9,2667022.82,6789.64,3.51
Bajra,2002,Kharif     ,Delhi,1552.0,2804,593.6,146927.84,388.0,1.81
Barley,2002,Kharif     ,Delhi,85.0,41,593.6,8046.95,21.25,0.48
Cotton(lint),2002,Kharif     ,Delhi,1.0,1,593.6,94.67,0.25,1.0
Gram,2002,Rabi       ,Delhi,73.0,16,593.6,6910.91,18.25,0.22
Jowar,2002,Kharif     ,Delhi,9273.0,4015,593.6,877874.91,2318.25,0.43
Maize,2002,Kharif     ,Delhi,94.0,228,593.6,8898.98,23.5,2.43
Other Kharif pulses,2002,Kharif     ,Delhi,339.0,437,593.6,32093.13,84.75,1.29
Potato,2002,Whole Year ,Delhi,61.0,446,593.6,5774.87,15.25,7.31
Rice,2002,Kharif     ,Delhi,6096.0,12907,593.6,577108.32,1524.0,2.12
Sugarcane,2002,Whole Year ,Delhi,5.0,340,593.6,473.35,1.25,68.0
Wheat,2002,Rabi       ,Delhi,19860.0,79718,593.6,1880146.2,4965.0,4.01
Bajra,2007,Kharif     ,Delhi,1586.0,3013,677.5,211572.4,253.76,1.9
Barley,2007,Kharif     ,Delhi,75.0,196,677.5,10005.0,12.0,2.61
Gram,2007,Rabi       ,Delhi,47.0,68,677.5,6269.8,7.52,1.45
Jowar,2007,Kharif     ,Delhi,8837.0,8262,677.5,1178855.8,1413.92,0.93
Maize,2007,Kharif     ,Delhi,69.0,126,677.5,9204.6,11.04,1.83
Other Kharif pulses,2007,Kharif     ,Delhi,391.0,587,677.5,52159.4,62.56,1.5
