Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1998,Kharif     ,Himachal Pradesh,128.0,30,1381.6,12646.4,37.12,0.255
Bajra,1998,Kharif     ,Himachal Pradesh,469.0,266,1381.6,46337.2,136.01,1.476666667
Barley,1998,Rabi       ,Himachal Pradesh,26752.0,27756,1381.6,2643097.6,7758.08,1.112727273
Coriander,1998,Rabi       ,Himachal Pradesh,395.0,128,1381.6,39026.0,114.55,0.512857143
Cotton(lint),1998,Whole Year ,Himachal Pradesh,57.0,30,1381.6,5631.6,16.53,0.548333333
Dry chillies,1998,Whole Year ,Himachal Pradesh,1007.0,224,1381.6,99491.6,292.03,0.205
Garlic,1998,Whole Year ,Himachal Pradesh,663.0,700,1381.6,65504.4,192.27,1.087272727
Ginger,1998,Whole Year ,Himachal Pradesh,1822.0,2631,1381.6,180013.6,528.38,1.19
Gram,1998,Rabi       ,Himachal Pradesh,1908.0,1653,1381.6,188510.4,553.32,0.734444444
Groundnut,1998,Kharif     ,Himachal Pradesh,282.0,286,1381.6,27861.6,81.78,0.714285714
Horse-gram,1998,Kharif     ,Himachal Pradesh,3028.0,1475,1381.6,299166.4,878.12,0.467
Linseed,1998,Rabi       ,Himachal Pradesh,2384.0,617,1381.6,235539.2,691.36,0.294
Maize,1998,Kharif     ,Himachal Pradesh,300976.0,662272,1381.6,29736428.8,87283.04,2.23
Masoor,1998,Rabi       ,Himachal Pradesh,1168.0,518,1381.6,115398.4,338.72,0.546363636
Moong(Green Gram),1998,Kharif     ,Himachal Pradesh,62.0,25,1381.6,6125.6,17.98,0.375
Peas & beans (Pulses),1998,Rabi       ,Himachal Pradesh,4845.0,10919,1381.6,478686.0,1405.05,1.848333333
Potato,1998,Kharif     ,Himachal Pradesh,10580.0,124547,1381.6,1045304.0,3068.2,11.007
Potato,1998,Rabi       ,Himachal Pradesh,3251.0,28756,1381.6,321198.8,942.79,10.772
Rapeseed &Mustard,1998,Rabi       ,Himachal Pradesh,10551.0,5733,1381.6,1042438.8,3059.79,0.745833333
Rice,1998,Kharif     ,Himachal Pradesh,82125.0,116997,1381.6,8113950.0,23816.25,1.455454545
Sesamum,1998,Kharif     ,Himachal Pradesh,4563.0,2122,1381.6,450824.4,1323.27,0.397777778
Small millets,1998,Kharif     ,Himachal Pradesh,14771.0,9881,1381.6,1459374.8,4283.59,0.436
Soyabean,1998,Kharif     ,Himachal Pradesh,585.0,1153,1381.6,57798.0,169.65,2.537142857
Tobacco,1998,Whole Year ,Himachal Pradesh,59.0,20,1381.6,5829.2,17.11,0.63
Turmeric,1998,Whole Year ,Himachal Pradesh,84.0,59,1381.6,8299.2,24.36,0.67
Urad,1998,Kharif     ,Himachal Pradesh,15155.0,6167,1381.6,1497314.0,4394.95,0.512727273
Wheat,1998,Rabi       ,Himachal Pradesh,379718.0,481267,1381.6,37516138.4,110118.22,1.363333333
Arhar/Tur,1999,Kharif     ,Himachal Pradesh,155.0,33,1144.9,16450.15,41.85,0.136666667
Barley,1999,Rabi       ,Himachal Pradesh,25901.0,32496,1144.9,2748873.13,6993.27,1.228333333
Dry chillies,1999,Whole Year ,Himachal Pradesh,859.0,276,1144.9,91165.67,231.93,0.311111111
Gram,1999,Rabi       ,Himachal Pradesh,1691.0,1594,1144.9,179465.83,456.57,0.825555556
Groundnut,1999,Kharif     ,Himachal Pradesh,179.0,150,1144.9,18997.27,48.33,0.558333333
Horse-gram,1999,Kharif     ,Himachal Pradesh,3307.0,1634,1144.9,350971.91,892.89,0.475555556
Linseed,1999,Rabi       ,Himachal Pradesh,2937.0,890,1144.9,311703.81,792.99,0.23
Maize,1999,Kharif     ,Himachal Pradesh,299906.0,681424,1144.9,31829023.78,80974.62,2.324166667
Masoor,1999,Kharif     ,Himachal Pradesh,1061.0,440,1144.9,112603.93,286.47,0.41
Moong(Green Gram),1999,Kharif     ,Himachal Pradesh,342.0,139,1144.9,36296.46,92.34,0.255
Peas & beans (Pulses),1999,Kharif     ,Himachal Pradesh,5046.0,11895,1144.9,535531.98,1362.42,1.59
Potato,1999,Whole Year ,Himachal Pradesh,627.0,5395,1144.9,66543.51,169.29,5.58
Rapeseed &Mustard,1999,Rabi       ,Himachal Pradesh,11079.0,5739,1144.9,1175814.27,2991.33,0.659090909
Rice,1999,Kharif     ,Himachal Pradesh,80222.0,120365,1144.9,8513960.86,21659.94,1.55
Sesamum,1999,Kharif     ,Himachal Pradesh,4056.0,2080,1144.9,430463.28,1095.12,0.415
Small millets,1999,Kharif     ,Himachal Pradesh,15200.0,9818,1144.9,1613176.0,4104.0,0.457777778
Soyabean,1999,Kharif     ,Himachal Pradesh,553.0,716,1144.9,58689.89,149.31,1.095
Sugarcane,1999,Whole Year ,Himachal Pradesh,3005.0,15470,1144.9,318920.65,811.35,5.206666667
Urad,1999,Kharif     ,Himachal Pradesh,14612.0,5418,1144.9,1550771.56,3945.24,0.495454545
Wheat,1999,Rabi       ,Himachal Pradesh,370587.0,583300,1144.9,39330398.31,100058.49,1.5775
Arhar/Tur,2000,Kharif     ,Himachal Pradesh,272.0,44,1068.4,26702.24,70.72,0.305714286
Bajra,2000,Kharif     ,Himachal Pradesh,116.0,41,1068.4,11387.72,30.16,0.51
Barley,2000,Rabi       ,Himachal Pradesh,25639.0,21414,1068.4,2516980.63,6666.14,0.8325
