Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2002,Rabi       ,Jharkhand,18045.15,30067,1041.2,1708334.351,4511.2875,1.69
Gram,2002,Rabi       ,Jharkhand,9748.47,8312,1041.2,922887.6549,2437.1175,0.871111111
Maize,2002,Autumn     ,Jharkhand,62780.33,74310,1041.2,5943413.841,15695.0825,1.203571429
Masoor,2002,Rabi       ,Jharkhand,3053.66,2381,1041.2,289089.9922,763.415,0.796666667
Potato,2002,Rabi       ,Jharkhand,12269.37,91201,1041.2,1161541.258,3067.3425,7.418
Potato,2002,Winter     ,Jharkhand,10525.78,74589,1041.2,996475.5926,2631.445,6.716666667
Ragi,2002,Autumn     ,Jharkhand,26659.73,32959,1041.2,2523876.639,6664.9325,1.048571429
Rapeseed &Mustard,2002,Rabi       ,Jharkhand,4704.34,3602,1041.2,445359.8678,1176.085,0.781111111
Rice,2002,Autumn     ,Jharkhand,136359.61,89082,1041.2,12909164.28,34089.9025,1.516666667
Rice,2002,Winter     ,Jharkhand,922658.68,974008,1041.2,87348097.24,230664.67,1.062222222
Wheat,2002,Rabi       ,Jharkhand,57203.69,78365,1041.2,5415473.332,14300.9225,1.42125
Arhar/Tur,2003,Kharif     ,Jharkhand,22500.06,32221,1258.3,2227055.939,5400.0144,1.425
Barley,2003,Rabi       ,Jharkhand,4519.82,3990,1258.3,447371.7836,1084.7568,0.943333333
Gram,2003,Rabi       ,Jharkhand,15155.21,12862,1258.3,1500062.686,3637.2504,0.9075
Maize,2003,Autumn     ,Jharkhand,89591.91,136371,1258.3,8867807.252,21502.0584,1.39
Masoor,2003,Rabi       ,Jharkhand,6993.61,8681,1258.3,692227.5178,1678.4664,1.175
Onion,2003,Whole Year ,Jharkhand,1137.98,9198,1258.3,112637.2604,273.1152,9.12
Potato,2003,Rabi       ,Jharkhand,9350.04,73414,1258.3,925466.9592,2244.0096,6.98625
Potato,2003,Winter     ,Jharkhand,13174.37,121890,1258.3,1303999.143,3161.8488,8.628333333
Ragi,2003,Autumn     ,Jharkhand,73301.3,50316,1258.3,7255362.674,17592.312,0.79
Rapeseed &Mustard,2003,Rabi       ,Jharkhand,6119.0,4851,1258.3,605658.62,1468.56,0.803636364
