Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2003,Kharif     ,Manipur,40.0,20,687.7,3959.2,9.6,0.5
Banana,2003,Whole Year ,Manipur,1950.0,15308,687.7,193011.0,468.0,7.851111111
Cashewnut,2003,Whole Year ,Manipur,325.0,130,687.7,32168.5,78.0,0.4
Dry chillies,2003,Whole Year ,Manipur,13390.0,7850,687.7,1325342.2,3213.6,0.543333333
Ginger,2003,Kharif     ,Manipur,1450.0,2390,687.7,143521.0,348.0,1.63
Maize,2003,Kharif     ,Manipur,2340.0,7530,687.7,231613.2,561.6,2.76
Onion,2003,Whole Year ,Manipur,970.0,2060,687.7,96010.6,232.8,2.068333333
Other Kharif pulses,2003,Kharif     ,Manipur,2340.0,1190,687.7,231613.2,561.6,0.5075
Peas & beans (Pulses),2003,Kharif     ,Manipur,3980.0,2030,687.7,393940.4,955.2,0.52
Rapeseed &Mustard,2003,Rabi       ,Manipur,20.0,10,687.7,1979.6,4.8,0.5
Rice,2003,Kharif     ,Manipur,157830.0,381240,687.7,15622013.4,37879.2,2.305555556
Sesamum,2003,Kharif     ,Manipur,810.0,400,687.7,80173.8,194.4,0.496666667
Soyabean,2003,Kharif     ,Manipur,320.0,290,687.7,31673.6,76.8,0.875
Sugarcane,2003,Whole Year ,Manipur,330.0,10780,687.7,32663.4,79.2,32.71
Sweet potato,2003,Whole Year ,Manipur,102.0,673,687.7,10095.96,24.48,6.59
Tapioca,2003,Whole Year ,Manipur,243.0,1360,687.7,24052.14,58.32,5.593333333
Turmeric,2003,Whole Year ,Manipur,550.0,380,687.7,54439.0,132.0,0.72
Arhar/Tur,2008,Kharif     ,Manipur,525.0,587,1134.8,75096.0,47.25,1.135555556
Banana,2008,Whole Year ,Manipur,4991.0,64424,1134.8,713912.64,449.19,12.91
Cowpea(Lobia),2008,Kharif     ,Manipur,948.0,1019,1134.8,135601.92,85.32,1.128888889
Dry chillies,2008,Whole Year ,Manipur,7962.0,59169,1134.8,1138884.48,716.58,7.482222222
Ginger,2008,Kharif     ,Manipur,2098.0,24794,1134.8,300097.92,188.82,11.79555556
Gram,2008,Rabi       ,Manipur,548.0,457,1134.8,78385.92,49.32,0.845555556
Groundnut,2008,Kharif     ,Manipur,3217.0,2341,1134.8,460159.68,289.53,0.73
Maize,2008,Kharif     ,Manipur,17980.0,32250,1134.8,2571859.2,1618.2,1.724444444
Maize,2008,Rabi       ,Manipur,2250.0,3130,1134.8,321840.0,202.5,1.467777778
Masoor,2008,Rabi       ,Manipur,455.0,377,1134.8,65083.2,40.95,0.836666667
Moong(Green Gram),2008,Kharif     ,Manipur,431.0,474,1134.8,61650.24,38.79,1.133333333
Other  Rabi pulses,2008,Rabi       ,Manipur,4805.0,3910,1134.8,687307.2,432.45,0.83
Other Kharif pulses,2008,Kharif     ,Manipur,1309.0,1463,1134.8,187239.36,117.81,1.134444444
Peas & beans (Pulses),2008,Rabi       ,Manipur,15492.0,12869,1134.8,2215975.68,1394.28,0.842222222
Potato,2008,Whole Year ,Manipur,13000.0,108000,1134.8,1859520.0,1170.0,8.165555556
Rapeseed &Mustard,2008,Rabi       ,Manipur,26000.0,20000,1134.8,3719040.0,2340.0,0.78
Rice,2008,Kharif     ,Manipur,210990.0,518250,1134.8,30180009.6,18989.1,2.134444444
Soyabean,2008,Kharif     ,Manipur,4983.0,3809,1134.8,712768.32,448.47,0.743333333
Sugarcane,2008,Whole Year ,Manipur,5150.0,298000,1134.8,736656.0,463.5,59.26444444
Turmeric,2008,Whole Year ,Manipur,834.0,9884,1134.8,119295.36,75.06,11.77666667
Urad,2008,Kharif     ,Manipur,1487.0,1609,1134.8,212700.48,133.83,1.135555556
Wheat,2008,Rabi       ,Manipur,2050.0,5120,1134.8,293232.0,184.5,2.495
Arhar/Tur,2009,Kharif     ,Manipur,168.0,149,992.5,26177.76,28.56,0.77875
Banana,2009,Whole Year ,Manipur,5841.0,60933,992.5,910144.62,992.97,10.64666667
Cowpea(Lobia),2009,Kharif     ,Manipur,185.0,157,992.5,28826.7,31.45,0.7625
Dry chillies,2009,Whole Year ,Manipur,8122.0,60712,992.5,1265570.04,1380.74,7.514444444
Ginger,2009,Kharif     ,Manipur,2098.0,24895,992.5,326910.36,356.66,11.87
Gram,2009,Rabi       ,Manipur,1848.0,1584,992.5,287955.36,314.16,0.817777778
Groundnut,2009,Kharif     ,Manipur,475.0,280,992.5,74014.5,80.75,0.522222222
Maize,2009,Kharif     ,Manipur,18300.0,33950,992.5,2851506.0,3111.0,1.705555556
Maize,2009,Rabi       ,Manipur,13500.0,23170,992.5,2103570.0,2295.0,1.673333333
Masoor,2009,Rabi       ,Manipur,1413.0,1195,992.5,220173.66,240.21,0.812222222
Moong(Green Gram),2009,Kharif     ,Manipur,190.0,155,992.5,29605.8,32.3,0.718888889
Other  Rabi pulses,2009,Rabi       ,Manipur,8993.0,7851,992.5,1401289.26,1528.81,0.817777778
Other Kharif pulses,2009,Kharif     ,Manipur,286.0,250,992.5,44564.52,48.62,0.731111111
Peas & beans (Pulses),2009,Rabi       ,Manipur,36746.0,31587,992.5,5725761.72,6246.82,0.82
Potato,2009,Whole Year ,Manipur,13650.0,113860,992.5,2126943.0,2320.5,8.286666667
Rapeseed &Mustard,2009,Rabi       ,Manipur,56000.0,43640,992.5,8725920.0,9520.0,0.734444444
Rice,2009,Kharif     ,Manipur,113890.0,265090,992.5,17746339.8,19361.3,1.923333333
Soyabean,2009,Kharif     ,Manipur,565.0,340,992.5,88038.3,96.05,0.543333333
Sugarcane,2009,Whole Year ,Manipur,3870.0,227130,992.5,603023.4,657.9,56.62666667
Turmeric,2009,Whole Year ,Manipur,1295.0,15410,992.5,201786.9,220.15,11.80777778
Urad,2009,Kharif     ,Manipur,361.0,297,992.5,56251.02,61.37,0.706666667
Wheat,2009,Rabi       ,Manipur,12000.0,25050,992.5,1869840.0,2040.0,2.073333333
Arhar/Tur,2010,Kharif     ,Manipur,490.0,508,2160.5,81393.9,117.6,1.028888889
Banana,2010,Whole Year ,Manipur,5899.0,76422,2160.5,979882.89,1415.76,12.94888889
Cowpea(Lobia),2010,Kharif     ,Manipur,890.0,970,2160.5,147837.9,213.6,1.156666667
Dry chillies,2010,Whole Year ,Manipur,8210.0,61661,2160.5,1363763.1,1970.4,7.55
Ginger,2010,Kharif     ,Manipur,2200.0,25443,2160.5,365442.0,528.0,11.38666667
Gram,2010,Rabi       ,Manipur,590.0,470,2160.5,98004.9,141.6,0.792222222
Groundnut,2010,Kharif     ,Manipur,3075.0,2207,2160.5,510788.25,738.0,0.722222222
