Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1999,Kharif     ,Nagaland,2870.0,2150,1782.2,304593.1,774.9,0.748571429
Bajra,1999,Kharif     ,Nagaland,1500.0,1250,1782.2,159195.0,405.0,0.831428571
Castor seed,1999,Kharif     ,Nagaland,820.0,750,1782.2,87026.6,221.4,2.102
Cotton(lint),1999,Kharif     ,Nagaland,250.0,350,1782.2,26532.5,67.5,1.398571429
Gram,1999,Rabi       ,Nagaland,1720.0,1020,1782.2,182543.6,464.4,0.892857143
Groundnut,1999,Kharif     ,Nagaland,3000.0,2800,1782.2,318390.0,810.0,0.892857143
Jowar,1999,Kharif     ,Nagaland,1500.0,1070,1782.2,159195.0,405.0,0.728571429
Jute,1999,Kharif     ,Nagaland,260.0,360,1782.2,27593.8,70.2,1.39
Linseed,1999,Rabi       ,Nagaland,4200.0,3150,1782.2,445746.0,1134.0,0.75
Maize,1999,Kharif     ,Nagaland,32050.0,42350,1782.2,3401466.5,8653.5,1.312857143
Moong(Green Gram),1999,Kharif     ,Nagaland,2500.0,1800,1782.2,265325.0,675.0,0.717142857
Peas & beans (Pulses),1999,Kharif     ,Nagaland,1250.0,940,1782.2,132662.5,337.5,1.495714286
Potato,1999,Whole Year ,Nagaland,4130.0,44800,1782.2,438316.9,1115.1,10.82857143
Rapeseed &Mustard,1999,Rabi       ,Nagaland,1400.0,1400,1782.2,148582.0,378.0,0.982857143
Rice,1999,Kharif     ,Nagaland,148000.0,222000,1782.2,15707240.0,39960.0,1.484285714
Sesamum,1999,Kharif     ,Nagaland,5000.0,2400,1782.2,530650.0,1350.0,0.54
Soyabean,1999,Kharif     ,Nagaland,12500.0,14000,1782.2,1326625.0,3375.0,1.121428571
Sugarcane,1999,Whole Year ,Nagaland,600.0,30000,1782.2,63678.0,162.0,50.0
Sunflower,1999,Kharif     ,Nagaland,1000.0,1120,1782.2,106130.0,270.0,1.138571429
Sunflower,1999,Rabi       ,Nagaland,2500.0,3480,1782.2,265325.0,675.0,1.385714286
Arhar/Tur,2000,Kharif     ,Nagaland,4000.0,4500,1631.8,392680.0,1040.0,1.13125
Bajra,2000,Kharif     ,Nagaland,1500.0,1250,1631.8,147255.0,390.0,0.82875
Barley,2000,Rabi       ,Nagaland,1000.0,1500,1631.8,98170.0,260.0,1.49875
Castor seed,2000,Kharif     ,Nagaland,1000.0,750,1631.8,98170.0,260.0,0.768333333
Cotton(lint),2000,Kharif     ,Nagaland,251.0,350,1631.8,24640.67,65.26,1.43875
Gram,2000,Rabi       ,Nagaland,1000.0,800,1631.8,98170.0,260.0,0.785
Groundnut,2000,Kharif     ,Nagaland,3500.0,4000,1631.8,343595.0,910.0,1.18125
Jowar,2000,Kharif     ,Nagaland,1500.0,1250,1631.8,147255.0,390.0,0.83
Jute,2000,Kharif     ,Nagaland,350.0,480,1631.8,34359.5,91.0,1.343333333
Linseed,2000,Rabi       ,Nagaland,6500.0,3000,1631.8,638105.0,1690.0,0.46625
Maize,2000,Kharif     ,Nagaland,35000.0,52500,1631.8,3435950.0,9100.0,1.5125
Moong(Green Gram),2000,Kharif     ,Nagaland,2000.0,1800,1631.8,196340.0,520.0,0.90125
Niger seed,2000,Kharif     ,Nagaland,750.0,400,1631.8,73627.5,195.0,0.512
Other  Rabi pulses,2000,Rabi       ,Nagaland,6500.0,5700,1631.8,638105.0,1690.0,0.91875
Other Kharif pulses,2000,Kharif     ,Nagaland,4400.0,4240,1631.8,431948.0,1144.0,0.985
