Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.17
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.58
Coriander,1998,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5
Ragi,1998,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.27
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55
Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667
Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,267748.0,785.9,82.595
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0
Arecanut,1999,Whole Year ,Puducherry,65.0,130,1434.5875,6898.45,17.55,2.0
Bajra,1999,Kharif     ,Puducherry,170.0,470,1434.5875,18042.1,45.9,2.76
Banana,1999,Whole Year ,Puducherry,282.0,8890,1434.5875,29928.66,76.14,29.25
Black pepper,1999,Whole Year ,Puducherry,12.0,7,1434.5875,1273.56,3.24,0.58
Cashewnut,1999,Whole Year ,Puducherry,210.0,177,1434.5875,22287.3,56.7,2.69
Coconut ,1999,Whole Year ,Puducherry,2214.0,27816000,1434.5875,234971.82,597.78,12812.4475
Coriander,1999,Whole Year ,Puducherry,3.0,2,1434.5875,318.39,0.81,0.67
Cotton(lint),1999,Kharif     ,Puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14
Dry chillies,1999,Whole Year ,Puducherry,11.0,35,1434.5875,1167.43,2.97,3.305
Ginger,1999,Kharif     ,Puducherry,133.0,94,1434.5875,14115.29,35.91,0.676666667
Groundnut,1999,Kharif     ,Puducherry,898.0,2511,1434.5875,95304.74,242.46,2.125
Jowar,1999,Kharif     ,Puducherry,3.0,3,1434.5875,318.39,0.81,1.0
Moong(Green Gram),1999,Rabi       ,Puducherry,2453.0,1321,1434.5875,260336.89,662.31,0.553333333
Onion,1999,Whole Year ,Puducherry,14.0,183,1434.5875,1485.82,3.78,13.07
Other  Rabi pulses,1999,Rabi       ,Puducherry,63.0,123,1434.5875,6686.19,17.01,1.333333333
Ragi,1999,Kharif     ,Puducherry,124.0,452,1434.5875,13160.12,33.48,3.325
Rapeseed &Mustard,1999,Rabi       ,Puducherry,64.0,483,1434.5875,6792.32,17.28,6.023333333
Rice,1999,Kharif     ,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61
Sugarcane,1999,Whole Year ,Puducherry,2798.0,237610,1434.5875,296951.74,755.46,83.0
Tapioca,1999,Whole Year ,Puducherry,365.0,10571,1434.5875,38737.45,98.55,18.29
Urad,1999,Rabi       ,Puducherry,3159.0,2467,1434.5875,335264.67,852.93,0.763333333
Arecanut,2000,Whole Year ,Puducherry,65.0,130,1434.5875,6381.05,16.9,2.0
Bajra,2000,Kharif     ,Puducherry,186.0,513,1434.5875,18259.62,48.36,2.76
Banana,2000,Whole Year ,Puducherry,239.0,7532,1434.5875,23462.63,62.14,26.25
Black pepper,2000,Whole Year ,Puducherry,12.0,7,1434.5875,1178.04,3.12,0.58
Cashewnut,2000,Whole Year ,Puducherry,202.0,121,1434.5875,19830.34,52.52,0.603333333
Coconut ,2000,Whole Year ,Puducherry,2233.0,24698000,1434.5875,219213.61,580.58,11937.4475
Coriander,2000,Whole Year ,Puducherry,1.0,1,1434.5875,98.17,0.26,1.0
Cotton(lint),2000,Kharif     ,Puducherry,452.0,2300,1434.5875,44372.84,117.52,5.11
Dry chillies,2000,Whole Year ,Puducherry,10.0,33,1434.5875,981.7,2.6,2.6775
Ginger,2000,Kharif     ,Puducherry,227.0,117,1434.5875,22284.59,59.02,0.54
Groundnut,2000,Kharif     ,Puducherry,1175.0,2158,1434.5875,115349.75,305.5,1.62
Jowar,2000,Kharif     ,Puducherry,6.0,6,1434.5875,589.02,1.56,1.0
Moong(Green Gram),2000,Kharif     ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),2000,Rabi       ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Onion,2000,Whole Year ,Puducherry,13.0,202,1434.5875,1276.21,3.38,15.54
Other  Rabi pulses,2000,Rabi       ,Puducherry,64.0,125,1434.5875,6282.88,16.64,1.18
Ragi,2000,Kharif     ,Puducherry,125.0,276,1434.5875,12271.25,32.5,2.21
Rapeseed &Mustard,2000,Rabi       ,Puducherry,63.0,452,1434.5875,6184.71,16.38,6.265
Rice,2000,Kharif     ,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,2.605
Sugarcane,2000,Whole Year ,Puducherry,2464.0,200413,1434.5875,241890.88,640.64,81.17
Tapioca,2000,Whole Year ,Puducherry,342.0,9685,1434.5875,33574.14,88.92,18.69
Urad,2000,Kharif     ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Urad,2000,Rabi       ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Arecanut,2001,Whole Year ,Puducherry,65.0,137,1434.5875,6638.45,16.9,2.11
Bajra,2001,Kharif     ,Puducherry,162.0,345,1434.5875,16545.06,42.12,2.13
Banana,2001,Whole Year ,Puducherry,225.0,7461,1434.5875,22979.25,58.5,25.375
Black pepper,2001,Whole Year ,Puducherry,12.0,11,1434.5875,1225.56,3.12,0.92
Cashewnut,2001,Whole Year ,Puducherry,191.0,134,1434.5875,19506.83,49.66,1.063333333
Coconut ,2001,Whole Year ,Puducherry,2282.0,22204000,1434.5875,233060.66,593.32,9725.08
Coriander,2001,Whole Year ,Puducherry,2.0,1,1434.5875,204.26,0.52,0.5
Cotton(lint),2001,Kharif     ,Puducherry,575.0,2965,1434.5875,58724.75,149.5,5.23
Ginger,2001,Kharif     ,Puducherry,171.0,89,1434.5875,17464.23,44.46,0.375
Groundnut,2001,Kharif     ,Puducherry,1229.0,1915,1434.5875,125517.77,319.54,1.195
Moong(Green Gram),2001,Rabi       ,Puducherry,544.0,105,1434.5875,55558.72,141.44,0.236666667
Onion,2001,Whole Year ,Puducherry,16.0,251,1434.5875,1634.08,4.16,15.69
Other  Rabi pulses,2001,Rabi       ,Puducherry,116.0,91,1434.5875,11847.08,30.16,0.68
Ragi,2001,Kharif     ,Puducherry,138.0,325,1434.5875,14093.94,35.88,2.36
Rapeseed &Mustard,2001,Rabi       ,Puducherry,71.0,530,1434.5875,7251.23,18.46,6.345
Rice,2001,Kharif     ,Puducherry,26263.0,66868,1434.5875,2682240.19,6828.38,2.415
Sugarcane,2001,Whole Year ,Puducherry,2117.0,197412,1434.5875,216209.21,550.42,91.64
Tapioca,2001,Whole Year ,Puducherry,464.0,15540,1434.5875,47388.32,120.64,21.5
Urad,2001,Rabi       ,Puducherry,811.0,267,1434.5875,82827.43,210.86,0.423333333
Arecanut,2003,Whole Year ,Puducherry,64.0,77,1434.5875,6334.72,15.36,1.2
Bajra,2003,Kharif     ,Puducherry,197.0,383,1434.5875,19499.06,47.28,1.94
Banana,2003,Whole Year ,Puducherry,280.0,10095,1434.5875,27714.4,67.2,26.56
Black pepper,2003,Whole Year ,Puducherry,12.0,8,1434.5875,1187.76,2.88,0.67
Cashewnut,2003,Whole Year ,Puducherry,217.0,172,1434.5875,21478.66,52.08,1.08
Coconut ,2003,Whole Year ,Puducherry,2252.0,30732000,1434.5875,222902.96,540.48,12300.735
Coriander,2003,Whole Year ,Puducherry,2.0,1,1434.5875,197.96,0.48,0.5
Cotton(lint),2003,Kharif     ,Puducherry,453.0,1747,1434.5875,44837.94,108.72,4.095
