Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Barley,1997,Rabi       ,Sikkim,1310.0,1510,2804.1,124672.7,406.1,1.155
Maize,1997,Kharif     ,Sikkim,39393.0,55710,2804.1,3749031.81,12211.83,1.425
Maize,1997,Whole Year ,Sikkim,9580.0,7605,2804.1,911728.6,2969.8,0.7875
Other  Rabi pulses,1997,Rabi       ,Sikkim,2310.0,2650,2804.1,219842.7,716.1,1.1125
Rapeseed &Mustard,1997,Rabi       ,Sikkim,5560.0,4270,2804.1,529145.2,1723.6,0.76
Rice,1997,Kharif     ,Sikkim,15691.0,21447,2804.1,1493312.47,4864.21,1.365
Small millets,1997,Kharif     ,Sikkim,5000.0,4730,2804.1,475850.0,1550.0,0.945
Soyabean,1997,Kharif     ,Sikkim,4000.0,3295,2804.1,380680.0,1240.0,0.8175
Urad,1997,Kharif     ,Sikkim,4400.0,3300,2804.1,418748.0,1364.0,0.69
Wheat,1997,Rabi       ,Sikkim,8090.0,14200,2804.1,769925.3,2507.9,1.755
Barley,1998,Rabi       ,Sikkim,1130.0,1217,3183.8,111644.0,327.7,1.06
Maize,1998,Kharif     ,Sikkim,39463.0,53840,3183.8,3898944.4,11444.27,0.937142857
Other  Rabi pulses,1998,Rabi       ,Sikkim,2300.0,2546,3183.8,227240.0,667.0,1.06
Rapeseed &Mustard,1998,Rabi       ,Sikkim,5680.0,2412,3183.8,561184.0,1647.2,0.425
Rice,1998,Kharif     ,Sikkim,15874.0,21957,3183.8,1568351.2,4603.46,1.3775
Small millets,1998,Kharif     ,Sikkim,5000.0,4713,3183.8,494000.0,1450.0,0.94
Soyabean,1998,Kharif     ,Sikkim,4020.0,2745,3183.8,397176.0,1165.8,0.64
Urad,1998,Kharif     ,Sikkim,4400.0,3049,3183.8,434720.0,1276.0,0.64
Wheat,1998,Rabi       ,Sikkim,7941.0,6416,3183.8,784570.8,2302.89,0.79
Barley,1999,Rabi       ,Sikkim,1140.0,1677,2678.5,120988.2,307.8,1.46
Maize,1999,Kharif     ,Sikkim,39093.0,52834,2678.5,4148940.09,10555.11,1.355
Rapeseed &Mustard,1999,Rabi       ,Sikkim,5760.0,4164,2678.5,611308.8,1555.2,0.6975
Rice,1999,Kharif     ,Sikkim,15908.0,23439,2678.5,1688316.04,4295.16,1.465
Soyabean,1999,Kharif     ,Sikkim,4150.0,3406,2678.5,440439.5,1120.5,0.795
Urad,1999,Kharif     ,Sikkim,4400.0,3309,2678.5,466972.0,1188.0,0.6775
Wheat,1999,Rabi       ,Sikkim,8100.0,12849,2678.5,859653.0,2187.0,1.5725
Barley,2000,Rabi       ,Sikkim,1140.0,1210,2504.8,111913.8,296.4,1.0475
Maize,2000,Kharif     ,Sikkim,39903.0,59611,2504.8,3917277.51,10374.78,1.49
Other Cereals,2000,Rabi       ,Sikkim,1990.0,1530,2504.8,195358.3,517.4,0.7625
Other Kharif pulses,2000,Kharif     ,Sikkim,2250.0,2416,2504.8,220882.5,585.0,1.035
Rapeseed &Mustard,2000,Rabi       ,Sikkim,5760.0,3938,2504.8,565459.2,1497.6,0.6525
Rice,2000,Kharif     ,Sikkim,15218.0,21358,2504.8,1493951.06,3956.68,1.4225
Small millets,2000,Kharif     ,Sikkim,4563.0,4232,2504.8,447949.71,1186.38,0.9275
Soyabean,2000,Kharif     ,Sikkim,4150.0,3410,2504.8,407405.5,1079.0,0.795
Urad,2000,Kharif     ,Sikkim,3780.0,2748,2504.8,371082.6,982.8,0.6125
Wheat,2000,Rabi       ,Sikkim,7215.0,10103,2504.8,708296.55,1875.9,1.3725
other oilseeds,2000,Kharif     ,Sikkim,80.0,34,2504.8,7853.6,20.8,0.45
Barley,2001,Rabi       ,Sikkim,1180.0,1332,2372.5,120513.4,306.8,1.0175
Maize,2001,Kharif     ,Sikkim,40110.0,57014,2372.5,4096434.3,10428.6,1.405
Maize,2001,Whole Year ,Sikkim,8000.0,4000,2372.5,817040.0,2080.0,0.5
Other Kharif pulses,2001,Kharif     ,Sikkim,2860.0,3205,2372.5,292091.8,743.6,1.1075
Rapeseed &Mustard,2001,Rabi       ,Sikkim,5800.0,3791,2372.5,592354.0,1508.0,0.6075
Rice,2001,Kharif     ,Sikkim,14900.0,21372,2372.5,1521737.0,3874.0,1.4275
Small millets,2001,Kharif     ,Sikkim,4928.0,4460,2372.5,503296.64,1281.28,0.8725
Soyabean,2001,Kharif     ,Sikkim,4150.0,3314,2372.5,423839.5,1079.0,0.7775
Urad,2001,Kharif     ,Sikkim,3780.0,2709,2372.5,386051.4,982.8,0.6075
Wheat,2001,Rabi       ,Sikkim,8710.0,10485,2372.5,889552.3,2264.6,1.12
Barley,2002,Rabi       ,Sikkim,1230.0,1500,2496.2,116444.1,307.5,1.1
Maize,2002,Kharif     ,Sikkim,36720.0,53210,2496.2,3476282.4,9180.0,1.415
Maize,2002,Whole Year ,Sikkim,6000.0,3000,2496.2,568020.0,1500.0,0.5
Other Kharif pulses,2002,Kharif     ,Sikkim,2900.0,3470,2496.2,274543.0,725.0,1.1725
Potato,2002,Whole Year ,Sikkim,5760.0,27020,2496.2,545299.2,1440.0,5.1
Rapeseed &Mustard,2002,Rabi       ,Sikkim,4800.0,3360,2496.2,454416.0,1200.0,0.6575
Rice,2002,Kharif     ,Sikkim,14790.0,21220,2496.2,1400169.3,3697.5,1.4325
Small millets,2002,Kharif     ,Sikkim,4340.0,3740,2496.2,410867.8,1085.0,0.825
Soyabean,2002,Kharif     ,Sikkim,3890.0,2910,2496.2,368266.3,972.5,0.715
