Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2002,Whole Year ,Tamil Nadu,4956.0,0,315.9,469184.52,1239.0,0.0
Arhar/Tur,2002,Kharif     ,Tamil Nadu,44127.0,24067,315.9,4177503.09,11031.75,0.535416667
Bajra,2002,Kharif     ,Tamil Nadu,102020.0,88682,315.9,9658233.4,25505.0,1.041666667
Banana,2002,Whole Year ,Tamil Nadu,76771.0,2836916,315.9,7267910.57,19192.75,34.81964286
Cashewnut,2002,Whole Year ,Tamil Nadu,95217.0,35885,315.9,9014193.39,23804.25,0.3108
Castor seed,2002,Kharif     ,Tamil Nadu,17749.0,5600,315.9,1680297.83,4437.25,0.376666667
Coconut ,2002,Whole Year ,Tamil Nadu,345825.0,2860700000,315.9,32739252.75,86456.25,8497.531111
Coriander,2002,Whole Year ,Tamil Nadu,25326.0,4707,315.9,2397612.42,6331.5,0.191818182
Cotton(lint),2002,Kharif     ,Tamil Nadu,75572.0,83542,315.9,7154401.24,18893.0,1.429230769
Dry chillies,2002,Whole Year ,Tamil Nadu,68566.0,40646,315.9,6491143.22,17141.5,0.640740741
Garlic,2002,Whole Year ,Tamil Nadu,565.0,3378,315.9,53488.55,141.25,5.69
Ginger,2002,Whole Year ,Tamil Nadu,416.0,6665,315.9,39382.72,104.0,16.00888889
Gram,2002,Rabi       ,Tamil Nadu,6199.0,4172,315.9,586859.33,1549.75,0.581666667
Groundnut,2002,Kharif     ,Tamil Nadu,502090.0,717403,315.9,47532860.3,125522.5,1.509285714
Horse-gram,2002,Kharif     ,Tamil Nadu,81711.0,20782,315.9,7735580.37,20427.75,0.25125
Jowar,2002,Kharif     ,Tamil Nadu,319607.0,213639,315.9,30257194.69,79901.75,0.765652174
Maize,2002,Kharif     ,Tamil Nadu,121057.0,191646,315.9,11460466.19,30264.25,1.806956522
Moong(Green Gram),2002,Kharif     ,Tamil Nadu,112812.0,48053,315.9,10679912.04,28203.0,0.411851852
Onion,2002,Whole Year ,Tamil Nadu,23492.0,198715,315.9,2223987.64,5873.0,8.54625
Other Kharif pulses,2002,Kharif     ,Tamil Nadu,121255.0,24850,315.9,11479210.85,30313.75,0.197037037
Potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,315.9,429517.79,1134.25,18.3475
Ragi,2002,Kharif     ,Tamil Nadu,104286.0,140169,315.9,9872755.62,26071.5,1.6392
Rapeseed &Mustard,2002,Rabi       ,Tamil Nadu,585.0,142,315.9,55381.95,146.25,0.206
Rice,2002,Kharif     ,Tamil Nadu,1516537.0,3577108,315.9,143570557.8,379134.25,2.884642857
Sesamum,2002,Kharif     ,Tamil Nadu,64481.0,28047,315.9,6104416.27,16120.25,0.401785714
Small millets,2002,Kharif     ,Tamil Nadu,7348.0,4137,315.9,695635.16,1837.0,0.575454545
Sugarcane,2002,Whole Year ,Tamil Nadu,261416.0,24165390,315.9,24748252.72,65354.0,89.04185185
Sunflower,2002,Kharif     ,Tamil Nadu,7709.0,8908,315.9,729811.03,1927.25,1.075217391
Sweet potato,2002,Whole Year ,Tamil Nadu,814.0,11121,315.9,77061.38,203.5,13.8292
Tapioca,2002,Whole Year ,Tamil Nadu,67951.0,2146534,315.9,6432921.17,16987.75,32.53576923
Tobacco,2002,Whole Year ,Tamil Nadu,8213.0,12630,315.9,777524.71,2053.25,1.435454545
Turmeric,2002,Whole Year ,Tamil Nadu,17298.0,64536,315.9,1637601.66,4324.5,3.67
Urad,2002,Kharif     ,Tamil Nadu,196888.0,78555,315.9,18639386.96,49222.0,0.422962963
Arecanut,2003,Whole Year ,Tamil Nadu,5219.0,0,345.6,516576.62,1252.56,0.0
Arhar/Tur,2003,Kharif     ,Tamil Nadu,44914.0,27475,345.6,4445587.72,10779.36,0.6396
Bajra,2003,Kharif     ,Tamil Nadu,158851.0,172342,345.6,15723071.98,38124.24,1.0744
Banana,2003,Whole Year ,Tamil Nadu,71088.0,2514729,345.6,7036290.24,17061.12,34.52965517
Black pepper,2003,Whole Year ,Tamil Nadu,4179.0,933,345.6,413637.42,1002.96,0.141666667
Cardamom,2003,Whole Year ,Tamil Nadu,5221.0,478,345.6,516774.58,1253.04,0.079
Cashewnut,2003,Whole Year ,Tamil Nadu,102763.0,39380,345.6,10171481.74,24663.12,0.361153846
Castor seed,2003,Kharif     ,Tamil Nadu,8720.0,2975,345.6,863105.6,2092.8,0.409545455
Coconut ,2003,Whole Year ,Tamil Nadu,352710.0,2560500000,345.6,34911235.8,84650.4,7781.805714
Coriander,2003,Whole Year ,Tamil Nadu,27722.0,8052,345.6,2743923.56,6653.28,0.300740741
Cotton(lint),2003,Kharif     ,Tamil Nadu,97777.0,119687,345.6,9677967.46,23466.48,1.504615385
Dry chillies,2003,Whole Year ,Tamil Nadu,75206.0,40067,345.6,7443889.88,18049.44,0.64
Garlic,2003,Whole Year ,Tamil Nadu,595.0,3411,345.6,58893.1,142.8,5.54
Ginger,2003,Kharif     ,Tamil Nadu,395.0,5599,345.6,39097.1,94.8,14.11833333
Gram,2003,Rabi       ,Tamil Nadu,6625.0,4349,345.6,655742.5,1590.0,0.586666667
Groundnut,2003,Kharif     ,Tamil Nadu,591696.0,918241,345.6,58566070.08,142007.04,1.513928571
Horse-gram,2003,Kharif     ,Tamil Nadu,68092.0,18240,345.6,6739746.16,16342.08,0.273043478
Jowar,2003,Kharif     ,Tamil Nadu,401607.0,245933,345.6,39751060.86,96385.68,0.7376
Maize,2003,Kharif     ,Tamil Nadu,160159.0,250992,345.6,15852537.82,38438.16,1.7856
Moong(Green Gram),2003,Kharif     ,Tamil Nadu,125690.0,53315,345.6,12440796.2,30165.6,0.407037037
Onion,2003,Whole Year ,Tamil Nadu,23452.0,211173,345.6,2321278.96,5628.48,8.768076923
Other Kharif pulses,2003,Kharif     ,Tamil Nadu,105792.0,21757,345.6,10471292.16,25390.08,0.239642857
Potato,2003,Whole Year ,Tamil Nadu,4341.0,70103,345.6,429672.18,1041.84,17.054
Ragi,2003,Kharif     ,Tamil Nadu,118439.0,176381,345.6,11723092.22,28425.36,1.792962963
Rapeseed &Mustard,2003,Rabi       ,Tamil Nadu,376.0,93,345.6,37216.48,90.24,0.386666667
Rice,2003,Kharif     ,Tamil Nadu,1396651.0,3222776,345.6,138240516.0,335196.24,2.728214286
Sesamum,2003,Kharif     ,Tamil Nadu,83835.0,29004,345.6,8297988.3,20120.4,0.347142857
Small millets,2003,Kharif     ,Tamil Nadu,68609.0,42529,345.6,6790918.82,16466.16,2.611153846
Sugarcane,2003,Whole Year ,Tamil Nadu,192069.0,19529277,345.6,19010989.62,46096.56,96.11384615
Sunflower,2003,Kharif     ,Tamil Nadu,10367.0,13408,345.6,1026125.66,2488.08,1.1916
Sweet potato,2003,Whole Year ,Tamil Nadu,1039.0,15049,345.6,102840.22,249.36,14.55
Tapioca,2003,Whole Year ,Tamil Nadu,95022.0,3201414,345.6,9405277.56,22805.28,33.38214286
Turmeric,2003,Whole Year ,Tamil Nadu,16181.0,67250,345.6,1601595.38,3883.44,3.909615385
Urad,2003,Kharif     ,Tamil Nadu,185732.0,75920,345.6,18383753.36,44575.68,0.412962963
Arecanut,2004,Whole Year ,Tamil Nadu,5077.0,7390,1034.0,550042.18,1066.17,1.55
Arhar/Tur,2004,Kharif     ,Tamil Nadu,43416.0,28979,1034.0,4703689.44,9117.36,0.6684
Bajra,2004,Kharif     ,Tamil Nadu,97608.0,124300,1034.0,10574850.72,20497.68,1.408846154
Banana,2004,Whole Year ,Tamil Nadu,81498.0,3461788,1034.0,8829493.32,17114.58,41.73931034
Cardamom,2004,Whole Year ,Tamil Nadu,4936.0,450,1034.0,534766.24,1036.56,0.071818182
Cashewnut,2004,Whole Year ,Tamil Nadu,104659.0,44497,1034.0,11338756.06,21978.39,0.34037037
Castor seed,2004,Kharif     ,Tamil Nadu,8269.0,2598,1034.0,895863.46,1736.49,0.3392
