Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Kharif     ,Uttar Pradesh,465581.0,480673,473.9,44309343.77,144330.11,0.9
Bajra,1997,Kharif     ,Uttar Pradesh,864228.0,1252811,473.9,82248578.76,267910.68,1.324
Barley,1997,Rabi       ,Uttar Pradesh,337037.0,747044,473.9,32075811.29,104481.47,2.046329114
Castor seed,1997,Kharif     ,Uttar Pradesh,23.0,15,473.9,2188.91,7.13,0.814285714
Gram,1997,Rabi       ,Uttar Pradesh,881819.0,746516,473.9,83922714.23,273363.89,0.823037975
Groundnut,1997,Kharif     ,Uttar Pradesh,138588.0,124084,473.9,13189419.96,42962.28,0.872727273
Jowar,1997,Kharif     ,Uttar Pradesh,397761.0,353464,473.9,37854914.37,123305.91,0.897647059
Linseed,1997,Rabi       ,Uttar Pradesh,81733.0,34838,473.9,7778529.61,25337.23,0.421320755
Maize,1997,Kharif     ,Uttar Pradesh,1017592.0,1598438,473.9,96844230.64,315453.52,1.498125
Maize,1997,Summer     ,Uttar Pradesh,10385.0,16398,473.9,988340.45,3219.35,1.577936508
Masoor,1997,Rabi       ,Uttar Pradesh,505695.0,365390,473.9,48126993.15,156765.45,0.76925
Moong(Green Gram),1997,Kharif     ,Uttar Pradesh,29316.0,8446,473.9,2790003.72,9087.96,0.332985075
Moong(Green Gram),1997,Summer     ,Uttar Pradesh,86459.0,36738,473.9,8228303.03,26802.29,0.476029412
Moth,1997,Kharif     ,Uttar Pradesh,933194.0,571557,473.9,88812072.98,289290.14,0.61474359
Onion,1997,Kharif     ,Uttar Pradesh,20151.0,209189,473.9,1917770.67,6246.81,10.23036364
Peas & beans (Pulses),1997,Rabi       ,Uttar Pradesh,427413.0,497369,473.9,40676895.21,132498.03,1.2715
Potato,1997,Whole Year ,Uttar Pradesh,400234.0,5869975,473.9,38090269.78,124072.54,13.6445
Rapeseed &Mustard,1997,Rabi       ,Uttar Pradesh,759048.0,445133,473.9,72238598.16,235304.88,0.61375
Rice,1997,Kharif     ,Uttar Pradesh,5726527.0,12262794,473.9,544993574.6,1775223.37,2.037
Rice,1997,Summer     ,Uttar Pradesh,6607.0,18281,473.9,628788.19,2048.17,2.202903226
Sesamum,1997,Kharif     ,Uttar Pradesh,105997.0,15976,473.9,10087734.49,32859.07,0.1668
Small millets,1997,Kharif     ,Uttar Pradesh,244340.0,285040,473.9,23253837.8,75745.4,0.90877193
Soyabean,1997,Kharif     ,Uttar Pradesh,52761.0,51936,473.9,5021264.37,16355.91,0.875641026
Sugarcane,1997,Kharif     ,Uttar Pradesh,6719.0,379133,473.9,639447.23,2082.89,56.43
Sugarcane,1997,Whole Year ,Uttar Pradesh,1985223.0,121066703,473.9,188933672.9,615419.13,53.15815789
Sunflower,1997,Rabi       ,Uttar Pradesh,26405.0,35701,473.9,2512963.85,8185.55,1.320833333
Urad,1997,Kharif     ,Uttar Pradesh,324558.0,134619,473.9,30888184.86,100612.98,0.477125
Urad,1997,Summer     ,Uttar Pradesh,72023.0,33793,473.9,6854428.91,22327.13,0.466567164
Wheat,1997,Rabi       ,Uttar Pradesh,9152928.0,22830886,473.9,871084157.8,2837407.68,2.416
Arhar/Tur,1998,Kharif     ,Uttar Pradesh,427079.0,497339,743.4,42195405.2,123852.91,0.982
Bajra,1998,Kharif     ,Uttar Pradesh,842795.0,979347,743.4,83268146.0,244410.55,1.110714286
