Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58
Banana,1998,Whole Year ,Kerala,30521.0,386588,3151.5,3015474.8,8851.09,12.85714286
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,6552.7,513167.2,1506.26,11.26714286
Banana,1999,Whole Year ,Assam,41922.0,583383,2201.8,4449181.86,11318.94,13.74652174
Banana,1999,Whole Year ,Goa,1950.0,14500,3879.3,206953.5,526.5,7.44
Banana,1999,Whole Year ,Kerala,39046.0,398145,2914.6,4143951.98,10542.42,10.36285714
Banana,1999,Whole Year ,Meghalaya,5319.0,63383,6200.3,564505.47,1436.13,11.16285714
Banana,1999,Whole Year ,Puducherry,282.0,8890,1434.5875,29928.66,76.14,29.25
Banana,2000,Whole Year ,Andhra Pradesh,49051.0,819660,935.6,4815336.67,12753.26,17.63090909
Banana,2000,Whole Year ,Assam,42534.0,590095,1965.5,4175562.78,11058.84,13.73217391
Banana,2000,Whole Year ,Goa,2000.0,14745,3886.9,196340.0,520.0,7.37
Banana,2000,Whole Year ,Karnataka,35335.0,649567,1213.3,3468836.95,9187.1,18.36037037
Banana,2000,Whole Year ,Kerala,45059.0,327955,2412.6,4423442.03,11715.34,7.457857143
Banana,2000,Whole Year ,Meghalaya,5377.0,64100,6258.8,527860.09,1398.02,11.36285714
Banana,2000,Whole Year ,Puducherry,239.0,7532,1434.5875,23462.63,62.14,26.25
Banana,2001,Whole Year ,Andhra Pradesh,50507.0,761365,928.4,5158279.91,13131.82,11.73363636
Banana,2001,Whole Year ,Assam,43600.0,606192,1824.7,4452868.0,11336.0,13.77652174
Banana,2001,Whole Year ,Goa,2100.0,15482,2530.6,214473.0,546.0,7.37
Banana,2001,Whole Year ,Kerala,50871.0,375903,2946.7,5195455.23,13226.46,7.347857143
Banana,2001,Whole Year ,Puducherry,225.0,7461,1434.5875,22979.25,58.5,25.375
Banana,2002,Whole Year ,Andhra Pradesh,39354.0,1027659,648.1,3725643.18,9838.5,26.83952381
Banana,2002,Whole Year ,Assam,42631.0,589595,1973.6,4035876.77,10657.75,13.77652174
Banana,2002,Whole Year ,Goa,2116.0,15743,2516.3,200321.72,529.0,7.44
Banana,2002,Whole Year ,Kerala,55668.0,421809,2511.2,5270089.56,13917.0,8.055714286
Banana,2002,Whole Year ,Tamil Nadu,76771.0,2836916,315.9,7267910.57,19192.75,34.81964286
Banana,2003,Whole Year ,Andhra Pradesh,38714.0,515379,826.0,3831911.72,9291.36,15.68263158
Banana,2003,Whole Year ,Assam,42982.0,594645,2213.7,4254358.36,10315.68,13.78478261
Banana,2003,Whole Year ,Goa,2179.0,16900,3011.6,215677.42,522.96,7.76
Banana,2003,Whole Year ,Karnataka,33220.0,431463,867.6,3288115.6,7972.8,14.36222222
Banana,2003,Whole Year ,Kerala,55906.0,442220,2386.0,5533575.88,13417.44,8.215
