Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Maharashtra,1339000.0,2330000,1156.1,127432630.0,415090.0,8.778275862
Rice,1997,Summer     ,Maharashtra,329.0,646,1156.1,31310.93,101.99,2.018888889
Rice,1998,Kharif     ,Maharashtra,1445700.0,2395100,1314.8,142835160.0,419253.0,1.267241379
Rice,1998,Summer     ,Maharashtra,37400.0,72500,1314.8,3695120.0,10846.0,2.053333333
Rice,1999,Kharif     ,Maharashtra,1457100.0,2466400,1166.5,154642023.0,393417.0,1.211935484
Rice,1999,Summer     ,Maharashtra,41400.0,82900,1166.5,4393782.0,11178.0,2.081
Rice,2000,Kharif     ,Maharashtra,1486400.0,1879200,1057.8,145919888.0,386464.0,0.9865625
Rice,2000,Summer     ,Maharashtra,25100.0,50500,1057.8,2464067.0,6526.0,1.987
Rice,2001,Kharif     ,Maharashtra,1487200.0,2590400,1035.8,151887736.0,386672.0,1.261875
Rice,2001,Summer     ,Maharashtra,26800.0,60800,1035.8,2737084.0,6968.0,2.192
Rice,2002,Kharif     ,Maharashtra,1496800.0,1793000,967.4,141702056.0,374200.0,0.8903125
Rice,2002,Summer     ,Maharashtra,26500.0,61100,967.4,2508755.0,6625.0,2.288
Rice,2003,Kharif     ,Maharashtra,1500400.0,2768600,1037.4,148509592.0,360096.0,1.232258065
Rice,2003,Summer     ,Maharashtra,29500.0,65500,1037.4,2919910.0,7080.0,2.217
Rice,2004,Kharif     ,Maharashtra,1488200.0,2098200,1052.0,161231588.0,312522.0,1.022903226
Rice,2004,Summer     ,Maharashtra,20500.0,49000,1052.0,2220970.0,4305.0,2.463
Rice,2005,Kharif     ,Maharashtra,1473700.0,2596800,1387.2,176726104.0,309477.0,1.215666667
Rice,2005,Summer     ,Maharashtra,38800.0,72200,1387.2,4652896.0,8148.0,2.007
Rice,2006,Kharif     ,Maharashtra,1491300.0,2488600,1439.4,190453923.0,328086.0,1.166333333
Rice,2006,Summer     ,Maharashtra,38000.0,81100,1439.4,4852980.0,8360.0,2.176
Rice,2007,Kharif     ,Maharashtra,1535300.0,2912800,1257.2,204809020.0,245648.0,1.377241379
Rice,2007,Summer     ,Maharashtra,41400.0,98700,1257.2,5522760.0,6624.0,2.486
Rice,2008,Kharif     ,Maharashtra,1499500.0,2234300,1052.8,214488480.0,134955.0,1.170740741
Rice,2008,Summer     ,Maharashtra,22000.0,53200,1052.8,3146880.0,1980.0,2.421111111
