Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Autumn     ,Bihar,749671.0,892725,1303.7,71346189.07,232398.01,1.102244898
Rice,1997,Summer     ,Bihar,124429.0,236446,1303.7,11841907.93,38572.99,1.683265306
Rice,1997,Winter     ,Bihar,4238204.0,6004120,1303.7,403349874.7,1313843.24,1.354363636
Rice,1998,Summer     ,Bihar,132836.0,270992,1332.5,13124196.8,38522.44,1.765777778
Rice,1998,Winter     ,Bihar,4234443.0,5722449,1332.5,418362968.4,1227988.47,1.242909091
Rice,1999,Kharif     ,Bihar,744230.0,862282,1402.7,78985129.9,200942.1,1.061666667
Rice,1999,Summer     ,Bihar,124874.0,246807,1402.7,13252877.62,33715.98,1.700666667
Rice,2000,Autumn     ,Bihar,2939790.0,4444354,1207.0,288599184.3,764345.4,1.399189189
Rice,2000,Kharif     ,Bihar,591705.0,786858,1207.0,58087679.85,153843.3,1.310645161
Rice,2000,Summer     ,Bihar,125349.0,213158,1207.0,12305511.33,32590.74,1.590645161
Rice,2001,Autumn     ,Bihar,2844474.0,4354156,1247.0,290506129.6,739563.24,1.409189189
Rice,2001,Kharif     ,Bihar,126106.0,243661,1247.0,12879205.78,32787.56,1.792903226
Rice,2001,Summer     ,Bihar,593959.0,703404,1247.0,60661032.67,154429.34,1.098275862
Rice,2002,Autumn     ,Bihar,583274.0,682933,1105.8,55218549.58,145818.5,1.060714286
Rice,2002,Summer     ,Bihar,120354.0,197607,1105.8,11393913.18,30088.5,1.625517241
Rice,2002,Winter     ,Bihar,2881073.0,4205026,1105.8,272751180.9,720268.25,1.345945946
Rice,2003,Autumn     ,Bihar,553904.0,688189,1353.9,54825417.92,132936.96,1.141666667
Rice,2003,Kharif     ,Bihar,190236.0,270831,1353.9,18829559.28,45656.64,1.42
Rice,2003,Summer     ,Bihar,116885.0,169902,1353.9,11569277.3,28052.4,1.324642857
Rice,2003,Winter     ,Bihar,2907199.0,4589705,1353.9,287754557.0,697727.76,1.456315789
Rice,2004,Autumn     ,Bihar,534477.0,477325,1147.8,57905238.18,112240.17,0.788148148
Rice,2004,Summer     ,Bihar,116220.0,166198,1147.8,12591274.8,24406.2,1.437407407
Rice,2004,Winter     ,Bihar,2489419.0,1828633,1147.8,269703654.5,522777.99,0.647105263
Rice,2005,Autumn     ,Bihar,533233.0,503448,907.8,63945301.36,111978.93,0.962666667
Rice,2005,Summer     ,Bihar,113251.0,182827,907.8,13581059.92,23782.71,1.304583333
Rice,2005,Winter     ,Bihar,2604752.0,3023010,907.8,312361859.8,546997.92,1.035263158
Rice,2006,Autumn     ,Bihar,517983.0,530242,1052.8,66151608.93,113956.26,0.962413793
Rice,2006,Summer     ,Bihar,109436.0,163989,1052.8,13976071.56,24075.92,1.45173913
Rice,2006,Winter     ,Bihar,2736591.0,4333716,1052.8,349490036.6,602050.02,1.482702703
Rice,2007,Autumn     ,Bihar,524266.0,318517,1600.2,69937084.4,83882.56,0.617
Rice,2007,Summer     ,Bihar,110440.0,172291,1600.2,14732696.0,17670.4,1.416666667
Rice,2007,Winter     ,Bihar,2842665.0,3967956,1600.2,379211511.0,454826.4,1.260789474
Rice,2008,Autumn     ,Bihar,546872.0,727414,1197.7,78224570.88,49218.48,1.230344828
