Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Punjab,2281000.0,7904000,690.1,217082770.0,707110.0,3.476470588
Rice,1998,Kharif     ,Punjab,2519000.0,7940000,588.6,248877200.0,730510.0,3.099411765
Rice,1999,Kharif     ,Punjab,2604000.0,8716000,364.4,276362520.0,703080.0,3.332352941
Rice,2000,Kharif     ,Punjab,2611000.0,9154000,405.3,256321870.0,678860.0,3.501764706
Rice,2001,Kharif     ,Punjab,2487000.0,8816000,479.3,253997310.0,646620.0,3.517058824
Rice,2002,Kharif     ,Punjab,2530000.0,8880000,301.8,239515100.0,632500.0,3.438823529
Rice,2003,Kharif     ,Punjab,2614000.0,9656000,451.7,258733720.0,627360.0,3.678235294
Rice,2004,Kharif     ,Punjab,2800000.0,10437000,366.4,303352000.0,588000.0,3.788823529
Rice,2005,Kharif     ,Punjab,2642000.0,10193000,566.7,316828640.0,554820.0,3.820588235
Rice,2006,Kharif     ,Punjab,2621000.0,10138000,569.6,334727910.0,576620.0,3.75
Rice,2007,Kharif     ,Punjab,2610000.0,10489000,527.2,348174000.0,417600.0,3.968
Rice,2008,Kharif     ,Punjab,2735000.0,11000000,691.3,391214400.0,246150.0,3.9855
Rice,2009,Kharif     ,Punjab,2802000.0,11236000,371.3,436607640.0,476340.0,3.9775
Rice,2010,Kharif     ,Punjab,2831000.0,10837000,392.7,470257410.0,679440.0,3.834
Rice,2011,Kharif     ,Punjab,2818000.0,10542000,705.2,472071360.0,929940.0,3.7495
Rice,2012,Kharif     ,Punjab,2849000.0,11390000,338.9,429629200.0,883190.0,3.923636364
Rice,2013,Kharif     ,Punjab,2851000.0,11267000,586.6,411940990.0,769770.0,3.834090909
Rice,2014,Kharif     ,Punjab,2894000.0,11107000,382.7,436878240.0,955020.0,3.728181818
Rice,2015,Kharif     ,Punjab,2975000.0,11823000,512.6,469782250.0,981750.0,3.923181818
Rice,2016,Kharif     ,Punjab,3046000.0,12638000,635.9,466799500.0,1066100.0,4.066818182
Rice,2017,Kharif     ,Punjab,3065000.0,13382000,497.5,482553600.0,1164700.0,4.252727273
Rice,2018,Kharif     ,Punjab,3103000.0,12822000,585.5,503306600.0,1086050.0,4.011818182
Rice,2019,Kharif     ,Punjab,3142000.0,12675000,653.2,539669920.0,1162540.0,3.930909091
