Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2016,Kharif     ,Arunachal Pradesh,131000.0,220000,2933.7,20075750.0,45850.0,1.606
Rice,2017,Kharif     ,Arunachal Pradesh,132000.0,233335,2745.5,20782080.0,50160.0,1.6915
Rice,2018,Kharif     ,Arunachal Pradesh,133200.0,239998,2992.9,21605040.0,46620.0,1.737727273
Rice,2019,Kharif     ,Arunachal Pradesh,133500.0,244741,2433.3,22929960.0,49395.0,1.7792
Rice,1998,Kharif     ,Arunachal Pradesh,115481.0,114116,3616.7,11409522.8,33489.49,0.965384615
Rice,1999,Kharif     ,Arunachal Pradesh,122740.0,134807,2338.6,13026396.2,33139.8,1.097692308
Rice,2000,Kharif     ,Arunachal Pradesh,118601.0,132690,2157.7,11643060.17,30836.26,1.066153846
Rice,2001,Kharif     ,Arunachal Pradesh,119455.0,134621,2128.5,12199939.15,31058.3,1.135384615
Rice,2002,Kharif     ,Arunachal Pradesh,124584.0,152500,2832.8,11794367.28,31146.0,1.182666667
Rice,2003,Kharif     ,Arunachal Pradesh,119205.0,154589,2782.2,11798910.9,28609.2,1.201333333
Rice,2004,Kharif     ,Arunachal Pradesh,121642.0,134950,2939.5,13178694.28,25544.82,1.080625
Rice,2005,Kharif     ,Arunachal Pradesh,122267.0,146191,2767.0,14662258.64,25676.07,1.16125
Rice,2006,Kharif     ,Arunachal Pradesh,123038.0,144635,1940.0,15713182.98,27068.36,1.151875
Rice,2007,Kharif     ,Arunachal Pradesh,124029.0,158146,3223.9,16545468.6,19844.64,1.225625
Rice,2008,Kharif     ,Arunachal Pradesh,126799.0,164538,2244.4,18137328.96,11411.91,1.183125
Rice,2009,Kharif     ,Arunachal Pradesh,121468.0,143893,1701.9,18927143.76,20649.56,1.12
Rice,2010,Kharif     ,Arunachal Pradesh,121570.0,155993,2574.1,20193992.7,29176.8,1.219375
Rice,2011,Kharif     ,Arunachal Pradesh,123500.0,159543,2193.7,20688720.0,40755.0,1.21875
Rice,2012,Kharif     ,Arunachal Pradesh,126085.0,174662,2760.7,19013618.0,39086.35,1.308125
Rice,2013,Kharif     ,Arunachal Pradesh,131989.0,184104,2042.9,19071090.61,35637.03,1.300588235
Rice,2014,Kharif     ,Arunachal Pradesh,127200.0,189992,2403.2,19202112.0,41976.0,1.447058824
Rice,2015,Kharif     ,Arunachal Pradesh,128800.0,204001,2593.2,20338808.0,42504.0,2.0875
Rice,1997,Kharif     ,Arunachal Pradesh,120020.0,129505,2274.9,11422303.4,37206.2,1.06
