Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2003,Kharif     ,Manipur,157830.0,381240,687.7,15622013.4,37879.2,2.305555556
Rice,2008,Kharif     ,Manipur,210990.0,518250,1134.8,30180009.6,18989.1,2.134444444
Rice,2009,Kharif     ,Manipur,113890.0,265090,992.5,17746339.8,19361.3,1.923333333
Rice,2010,Kharif     ,Manipur,212680.0,480240,2160.5,35328274.8,51043.2,1.945555556
Rice,2011,Kharif     ,Manipur,223670.0,591000,1533.561905,37469198.4,73811.1,2.34
Rice,2012,Kharif     ,Manipur,122690.0,257580,1176.7,18501652.0,38033.9,1.937777778
Rice,2013,Kharif     ,Manipur,222800.0,597670,1428.8,32192372.0,60156.0,2.354444444
Rice,2014,Kharif     ,Manipur,224380.0,501980,987.5,33872404.8,74045.4,2.073333333
Rice,2015,Kharif     ,Manipur,237000.0,508140,1329.1,37424670.0,78210.0,1.876666667
Rice,2016,Kharif     ,Manipur,244000.0,645600,2039.8,37393000.0,85400.0,2.313333333
Rice,2017,Kharif     ,Manipur,236710.0,607820,1780.0,37267622.4,89949.8,2.18
Rice,2018,Kharif     ,Manipur,233500.0,602430,1196.9,37873700.0,81725.0,2.232222222
Rice,1997,Kharif     ,Manipur,155.0,348,2053.3,14751.35,48.05,2.075555556
Rice,1998,Autumn     ,Manipur,88370.0,200290,1855.0,8730956.0,25627.3,2.094444444
Rice,1998,Winter     ,Manipur,78520.0,181900,1855.0,7757776.0,22770.8,2.2175
Rice,1999,Kharif     ,Manipur,157050.0,364980,2092.7,16667716.5,42403.5,2.171111111
Rice,2000,Kharif     ,Manipur,156890.0,381750,1969.7,15401891.3,40791.4,2.26
Rice,2001,Kharif     ,Manipur,162570.0,387270,2013.1,16603274.1,42268.2,2.234444444
Rice,2002,Kharif     ,Manipur,153110.0,335700,1743.7,14494923.7,38277.5,2.034444444
Rice,2004,Kharif     ,Manipur,176310.0,435930,1613.3,19101425.4,37025.1,2.327777778
Rice,2005,Kharif     ,Manipur,166260.0,386070,1585.4,19937899.2,34914.6,2.238888889
Rice,2006,Kharif     ,Manipur,165370.0,389170,1533.561905,21119402.7,36381.4,2.276666667
Rice,2007,Kharif     ,Manipur,166150.0,406150,1435.7,22164410.0,26584.0,2.378888889
