Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51
Rice,1999,Kharif     ,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286
Rice,1999,Rabi       ,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286
Rice,2000,Kharif     ,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714
Rice,2001,Kharif     ,Meghalaya,107761.0,188971,4241.0,11005630.93,28017.86,1.751428571
Rice,2003,Kharif     ,Meghalaya,109721.0,200703,3321.3,10860184.58,26333.04,1.798571429
Rice,2004,Autumn     ,Meghalaya,32667.0,37766,4767.9,3539142.78,6860.07,1.492857143
Rice,2004,Summer     ,Meghalaya,9224.0,37439,4767.9,999328.16,1937.04,2.078333333
Rice,2004,Winter     ,Meghalaya,69659.0,118514,4767.9,7546856.06,14628.39,1.792857143
Rice,2005,Autumn     ,Meghalaya,32678.0,43762,3374.4,3918745.76,6862.38,1.597142857
Rice,2005,Summer     ,Meghalaya,9791.0,39910,3374.4,1174136.72,2056.11,2.245
Rice,2005,Winter     ,Meghalaya,63602.0,124605,3374.4,7627151.84,13356.42,1.971428571
Rice,2006,Autumn     ,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571
Rice,2006,Rabi       ,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857
Rice,2006,Winter     ,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143
Rice,2008,Autumn     ,Meghalaya,32570.0,41908,3114.3,4658812.8,2931.3,1.53
Rice,2008,Summer     ,Meghalaya,12752.0,46600,3114.3,1824046.08,1147.68,2.154285714
Rice,2008,Winter     ,Meghalaya,62723.0,115354,3114.3,8971897.92,5645.07,1.802857143
Rice,2009,Autumn     ,Meghalaya,32560.0,41798,2995.9,5073499.2,5535.2,1.542857143
Rice,2009,Summer     ,Meghalaya,12777.0,46943,2995.9,1990912.14,2172.09,2.171428571
Rice,2009,Winter     ,Meghalaya,62825.0,115388,2995.9,9789391.5,10680.25,1.802857143
Rice,2010,Autumn     ,Meghalaya,32596.0,42492,3119.7,5414521.56,7823.04,1.53
Rice,2010,Rabi       ,Meghalaya,12797.0,47413,3119.7,2125709.67,3071.28,2.077142857
Rice,2010,Winter     ,Meghalaya,62892.0,117116,3119.7,10446990.12,15094.08,1.828571429
Rice,2011,Autumn     ,Meghalaya,32605.0,43401,4083.104545,5461989.6,10759.65,1.511428571
Rice,2011,Rabi       ,Meghalaya,12836.0,54206,4083.104545,2150286.72,4235.88,2.07
Rice,2011,Winter     ,Meghalaya,63434.0,125124,4083.104545,10626463.68,20933.22,1.91
Rice,2012,Autumn     ,Meghalaya,33000.0,66000,2945.3,4976400.0,10230.0,2.232857143
Rice,2012,Rabi       ,Meghalaya,13267.0,56786,2945.3,2000663.6,4112.77,2.13
Rice,2012,Winter     ,Meghalaya,63484.0,142867,2945.3,9573387.2,19680.04,2.118571429
Rice,2013,Autumn     ,Meghalaya,22569.0,48727,2448.4,3260994.81,6093.63,2.448571429
Rice,2013,Rabi       ,Meghalaya,13444.0,58685,2448.4,1942523.56,3629.88,2.396363636
Rice,2013,Winter     ,Meghalaya,46424.0,111289,2448.4,6707803.76,12534.48,2.238571429
Rice,2014,Autumn     ,Meghalaya,33102.0,76631,3484.4,4997077.92,10923.66,2.507272727
Rice,2014,Rabi       ,Meghalaya,13620.0,62687,3484.4,2056075.2,4494.6,2.505454545
Rice,2014,Winter     ,Meghalaya,63601.0,158920,3484.4,9601206.96,20988.33,2.319090909
Rice,2015,Autumn     ,Meghalaya,33136.0,77453,3870.8,5232505.76,10934.88,2.551818182
Rice,2015,Rabi       ,Meghalaya,13649.0,62901,3870.8,2155313.59,4504.17,2.557272727
Rice,2015,Winter     ,Meghalaya,63670.0,160722,3870.8,10054129.7,21011.1,2.347272727
