Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1997,Whole Year ,Gujarat,672600.0,1042300,798.9,64011342.0,208506.0,1.665
Rice,1998,Kharif     ,Gujarat,622100.0,1015900,775.6,61463480.0,180409.0,1.695384615
Rice,1999,Kharif     ,Gujarat,664400.0,984900,458.9,70512772.0,179388.0,1.510714286
Rice,2000,Kharif     ,Gujarat,583500.0,472600,379.7,57282195.0,151710.0,0.8725
Rice,2000,Summer     ,Gujarat,3900.0,10700,379.7,382863.0,1014.0,3.53
Rice,2001,Kharif     ,Gujarat,664000.0,1028700,666.5,67814320.0,172640.0,1.533571429
Rice,2001,Summer     ,Gujarat,3800.0,11500,666.5,388094.0,988.0,2.935
Rice,2002,Kharif     ,Gujarat,469000.0,541700,458.4,44400230.0,117250.0,1.209230769
Rice,2002,Summer     ,Gujarat,11800.0,54700,458.4,1117106.0,2950.0,4.53
Rice,2003,Kharif     ,Gujarat,651400.0,1193200,902.5,64475572.0,156336.0,1.7125
Rice,2003,Summer     ,Gujarat,23900.0,83800,902.5,2365622.0,5736.0,3.565714286
Rice,2004,Kharif     ,Gujarat,665600.0,1157300,719.8,72111104.0,139776.0,1.730666667
Rice,2004,Summer     ,Gujarat,13800.0,39200,719.8,1495092.0,2898.0,2.68625
Rice,2005,Kharif     ,Gujarat,648300.0,1209300,942.4,77744136.0,136143.0,1.843125
Rice,2005,Summer     ,Gujarat,24600.0,74300,942.4,2950032.0,5166.0,3.054444444
Rice,2006,Kharif     ,Gujarat,655600.0,1045200,1056.2,83726676.0,144232.0,1.601875
Rice,2006,Summer     ,Gujarat,33700.0,96000,1056.2,4303827.0,7414.0,2.855555556
Rice,2007,Kharif     ,Gujarat,726000.0,1376300,1021.6,96848400.0,116160.0,1.8325
Rice,2007,Summer     ,Gujarat,32600.0,97900,1021.6,4348840.0,5216.0,3.043333333
Rice,2008,Kharif     ,Gujarat,722100.0,1225500,746.1,103289184.0,64989.0,1.615294118
Rice,2008,Summer     ,Gujarat,25200.0,77400,746.1,3604608.0,2268.0,2.921111111
Rice,2009,Kharif     ,Gujarat,658500.0,1228400,618.0,102607470.0,111945.0,1.693529412
Rice,2009,Summer     ,Gujarat,21000.0,64600,618.0,3272220.0,3570.0,3.034444444
Rice,2010,Kharif     ,Gujarat,728300.0,1423800,1107.5,120977913.0,174792.0,1.8275
Rice,2010,Summer     ,Gujarat,79800.0,242000,1107.5,13255578.0,19152.0,2.987777778
Rice,2011,Kharif     ,Gujarat,751300.0,1521800,890.5,125857776.0,247929.0,1.951666667
Rice,2011,Summer     ,Gujarat,84200.0,267900,890.5,14105184.0,27786.0,3.122222222
Rice,2012,Kharif     ,Gujarat,672000.0,1408100,460.6,101337600.0,208320.0,1.98
Rice,2012,Summer     ,Gujarat,29100.0,89200,460.6,4388280.0,9021.0,2.943
Rice,2013,Kharif     ,Gujarat,787300.0,1672585,1006.5,113756977.0,212571.0,1.939411765
Rice,2013,Summer     ,Gujarat,33099.0,105505,1006.5,4782474.51,8936.73,3.133636364
Rice,2014,Kharif     ,Gujarat,763205.0,1671308,605.6,115213426.8,251857.65,1.867368421
Rice,2014,Summer     ,Gujarat,31238.0,100275,605.6,4715688.48,10308.54,3.144166667
Rice,2015,Kharif     ,Gujarat,741042.0,1584355,584.3,117017942.2,244543.86,1.895238095
Rice,2015,Summer     ,Gujarat,33140.0,107509,584.3,5233137.4,10936.2,3.201818182
Rice,2016,Kharif     ,Gujarat,792207.0,1808275,710.5,121405722.8,277272.45,2.0745
Rice,2016,Summer     ,Gujarat,55403.0,180196,710.5,8490509.75,19391.05,3.133333333
Rice,2017,Kharif     ,Gujarat,802674.0,1749613,814.8,126372994.6,305016.12,2.0375
Rice,2017,Summer     ,Gujarat,52616.0,140196,814.8,8283863.04,19994.08,2.657857143
Rice,2018,Kharif     ,Gujarat,809367.0,1819260,1125.4,131279327.4,283278.45,2.131
Rice,2018,Summer     ,Gujarat,29582.0,92755,1125.4,4798200.4,10353.7,2.676153846
Rice,2019,Kharif     ,Gujarat,849599.0,1821136,1067.8,145927124.2,314351.63,1.948571429
Rice,2019,Summer     ,Gujarat,54751.0,161497,1067.8,9404031.76,20257.87,2.848571429
