Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,1999,Autumn     ,Odisha,797000.0,743000,1484.3,84585610.0,215190.0,0.971333333
Rice,1999,Summer     ,Odisha,381810.0,912040,1484.3,40521495.3,103088.7,2.073333333
Rice,1999,Winter     ,Odisha,3423000.0,3532000,1484.3,363282990.0,924210.0,1.142666667
Rice,2000,Autumn     ,Odisha,854570.0,464250,1066.0,83893136.9,222188.2,0.733666667
Rice,2000,Summer     ,Odisha,206730.0,441540,1066.0,20294684.1,53749.8,1.685333333
Rice,2000,Winter     ,Odisha,3372220.0,3707590,1066.0,331050837.4,876777.2,1.020666667
Rice,2001,Kharif     ,Odisha,4500000.0,7220000,1672.5,459585000.0,1170000.0,1.583666667
Rice,2002,Kharif     ,Odisha,4273000.0,3278000,1102.8,404524910.0,1068250.0,0.753333333
Rice,2003,Kharif     ,Odisha,4501000.0,6801000,1648.2,445508980.0,1080240.0,1.516333333
Rice,2019,Autumn     ,Odisha,426080.0,769480,1593.9,73183500.8,157649.6,1.8825
Rice,2019,Summer     ,Odisha,292610.0,932910,1593.9,50258693.6,108265.7,2.796896552
Rice,2019,Winter     ,Odisha,3222020.0,8052660,1593.9,553414155.2,1192147.4,2.564666667
Rice,2004,Autumn     ,Odisha,824000.0,677000,1290.4,89272160.0,173040.0,0.98
Rice,2004,Summer     ,Odisha,293000.0,652000,1290.4,31743620.0,61530.0,1.938148148
Rice,2004,Winter     ,Odisha,3375000.0,5207000,1290.4,365647500.0,708750.0,1.511333333
Rice,1998,Autumn     ,Odisha,819731.0,501365,1357.1,80989422.8,237721.99,0.837666667
Rice,1998,Summer     ,Odisha,268081.0,506455,1357.1,26486402.8,77743.49,1.582666667
Rice,1998,Winter     ,Odisha,3358901.0,4383502,1357.1,331859418.8,974081.29,1.342333333
Rice,2005,Autumn     ,Odisha,781000.0,681000,1503.4,93657520.0,164010.0,1.016428571
Rice,2005,Summer     ,Odisha,325000.0,702000,1503.4,38974000.0,68250.0,2.04
Rice,2005,Winter     ,Odisha,3373000.0,5475000,1503.4,404490160.0,708330.0,1.639666667
Rice,2006,Autumn     ,Odisha,757000.0,765000,1716.9,96676470.0,166540.0,1.056785714
Rice,2006,Summer     ,Odisha,315000.0,720000,1716.9,40228650.0,69300.0,2.012
Rice,2006,Winter     ,Odisha,3379000.0,5338000,1716.9,431532090.0,743380.0,1.580333333
Rice,2007,Autumn     ,Odisha,742000.0,814000,1633.8,98982800.0,118720.0,1.082857143
Rice,2007,Summer     ,Odisha,334000.0,816000,1633.8,44555600.0,53440.0,2.108928571
Rice,2007,Winter     ,Odisha,3376000.0,5910000,1633.8,450358400.0,540160.0,1.747
Rice,2008,Autumn     ,Odisha,707000.0,735000,1539.0,101129280.0,63630.0,1.062142857
Rice,2008,Summer     ,Odisha,331000.0,811000,1539.0,47346240.0,29790.0,2.051538462
Rice,2008,Winter     ,Odisha,3417000.0,5266000,1539.0,488767680.0,307530.0,1.545333333
Rice,2009,Autumn     ,Odisha,687000.0,618000,1330.3,107048340.0,116790.0,1.024074074
Rice,2009,Summer     ,Odisha,265000.0,714000,1330.3,41292300.0,45050.0,2.163636364
Rice,2009,Winter     ,Odisha,3413000.0,5581000,1330.3,531813660.0,580210.0,1.575666667
Rice,2010,Autumn     ,Odisha,678000.0,563000,1291.9,112622580.0,162720.0,0.939642857
Rice,2010,Summer     ,Odisha,293000.0,863000,1291.9,48670230.0,70320.0,2.1024
Rice,2010,Winter     ,Odisha,3255000.0,5398000,1291.9,540688050.0,781200.0,1.633
Rice,2011,Autumn     ,Odisha,536000.0,418000,1346.2,89790720.0,176880.0,0.8
Rice,2011,Summer     ,Odisha,236000.0,755000,1346.2,39534720.0,77880.0,2.363913043
Rice,2011,Winter     ,Odisha,3233000.0,4633000,1346.2,541592160.0,1066890.0,1.405333333
Rice,2012,Autumn     ,Odisha,561000.0,970000,1430.2,84598800.0,173910.0,1.56
Rice,2012,Summer     ,Odisha,8629000.0,868000,1430.2,1301253200.0,2674990.0,0.077333333
Rice,2012,Winter     ,Odisha,3188000.0,7658000,1430.2,480750400.0,988280.0,2.490666667
Rice,2013,Autumn     ,Odisha,582000.0,851000,1632.4,84093180.0,157140.0,1.2972
Rice,2013,Summer     ,Odisha,300000.0,1025000,1632.4,43347000.0,81000.0,2.857307692
Rice,2013,Winter     ,Odisha,3298000.0,5734000,1632.4,476528020.0,890460.0,1.853
Rice,2014,Autumn     ,Odisha,583000.0,1036000,1536.9,88009680.0,192390.0,1.599166667
Rice,2014,Summer     ,Odisha,301000.0,1002000,1536.9,45438960.0,99330.0,2.62
Rice,2014,Winter     ,Odisha,3282000.0,7802000,1536.9,495450720.0,1083060.0,2.379333333
Rice,2015,Autumn     ,Odisha,541000.0,390000,1210.1,85429310.0,178530.0,0.864583333
Rice,2015,Summer     ,Odisha,234000.0,782000,1210.1,36950940.0,77220.0,2.619090909
Rice,2015,Winter     ,Odisha,3167000.0,4702000,1210.1,500100970.0,1045110.0,1.417666667
Rice,2016,Autumn     ,Odisha,511550.0,657520,1460.5,78395037.5,179042.5,1.444074074
Rice,2016,Summer     ,Odisha,224780.0,793690,1460.5,34447535.0,78673.0,2.745333333
Rice,2016,Winter     ,Odisha,3226450.0,8343100,1460.5,494453462.5,1129257.5,2.543
Rice,2017,Autumn     ,Odisha,530320.0,576840,1344.4,83493580.8,201521.6,1.218928571
Rice,2017,Summer     ,Odisha,221940.0,695400,1344.4,34942233.6,84337.2,2.673571429
Rice,2017,Winter     ,Odisha,3014130.0,5279130,1344.4,474544627.2,1145369.4,1.747
Rice,2018,Autumn     ,Odisha,454370.0,527490,1635.9,73698814.0,159029.5,1.322916667
Rice,2018,Summer     ,Odisha,274230.0,925810,1635.9,44480106.0,95980.5,2.586071429
Rice,2018,Winter     ,Odisha,3130820.0,6280410,1635.9,507819004.0,1095787.0,1.982333333
