Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2002,Kharif     ,Tamil Nadu,1516537.0,3577108,315.9,143570557.8,379134.25,2.884642857
Rice,2003,Kharif     ,Tamil Nadu,1396651.0,3222776,345.6,138240516.0,335196.24,2.728214286
Rice,2004,Kharif     ,Tamil Nadu,1872822.0,5061622,1034.0,202901535.5,393292.62,3.015172414
Rice,2005,Kharif     ,Tamil Nadu,2050455.0,5209433,1364.1,245890563.6,430595.55,2.895517241
Rice,2006,Kharif     ,Tamil Nadu,1931397.0,6610607,927.9,246658710.9,424907.34,3.584827586
Rice,2007,Kharif     ,Tamil Nadu,1789170.0,5039954,1067.2,238675278.0,286267.2,3.213793103
Rice,2008,Kharif     ,Tamil Nadu,1931603.0,5183385,1201.9,276296493.1,173844.27,3.562580645
Rice,2009,Kharif     ,Tamil Nadu,1845553.0,5665258,928.5,287574068.5,313744.01,3.539677419
Rice,2011,Kharif     ,Tamil Nadu,1903772.0,7458657,926.5,318919885.4,628244.76,4.226451613
Rice,2013,Kharif     ,Tamil Nadu,1725730.0,7115195,740.9,249350727.7,465947.1,4.491935484
Rice,2014,Kharif     ,Tamil Nadu,1794991.0,7949437,911.3,270971841.4,592347.03,4.730322581
Rice,2015,Kharif     ,Tamil Nadu,2000212.0,7374681,1201.9,315853476.9,660069.96,4.061290323
Rice,2016,Kharif     ,Tamil Nadu,1442841.0,3554113,912.4,221115383.3,504994.35,3.068387097
Rice,2017,Autumn     ,Tamil Nadu,235255.0,906616,970.9,37038547.2,89396.9,3.967857143
Rice,2017,Summer     ,Tamil Nadu,276272.0,1234550,970.9,43496263.68,104983.36,4.451428571
Rice,2017,Winter     ,Tamil Nadu,1317338.0,4497284,970.9,207401694.7,500588.44,4.139
Rice,2018,Autumn     ,Tamil Nadu,279647.0,1198496,986.2,45358743.4,97876.45,4.184827586
Rice,2018,Summer     ,Tamil Nadu,236904.0,992095,986.2,38425828.8,82916.4,3.997333333
Rice,2018,Winter     ,Tamil Nadu,1204714.0,3940959,986.2,195404610.8,421649.9,3.749032258
Rice,2019,Autumn     ,Tamil Nadu,206535.0,847692,910.1,35474451.6,76417.95,4.077241379
Rice,2019,Summer     ,Tamil Nadu,339990.0,1463054,910.1,58396682.4,125796.3,4.095
Rice,2019,Winter     ,Tamil Nadu,1360882.0,4954415,910.1,233745092.3,503526.34,3.818387097
Rice,1998,Kharif     ,Tamil Nadu,2386399.0,8215286,1077.1,235776221.2,692055.71,3.445
Rice,1999,Kharif     ,Tamil Nadu,2204046.0,7225373,922.8,233915402.0,595092.42,3.499642857
Rice,2000,Kharif     ,Tamil Nadu,2113344.0,7217903,971.1,207466980.5,549469.44,3.611785714
Rice,2001,Kharif     ,Tamil Nadu,2059878.0,6583630,481.3,210375340.1,535568.28,3.532857143
Rice,2010,Kharif     ,Tamil Nadu,1905726.0,5792415,1095.2,316560145.9,457374.24,3.597419355
Rice,2012,Kharif     ,Tamil Nadu,1493276.0,4050334,706.8,225186020.8,462915.56,3.293225806
